"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia JULCAN (000)",32985,18405,624,336,13633
"Menos de 1 año (001)",735,572,11,6,146
"De 1 a 14 años (002)",12440,10661,171,135,1477
"De 15 a 29 años (003)",7595,3166,118,72,4244
"De 30 a 44 años (004)",5769,2354,208,65,3145
"De 45 a 64 años (005)",4221,1256,90,48,2828
"De 65 y mas años (006)",2225,396,26,10,1793
"Hombres (008)",16509,8671,296,151,7398
"Menos de 1 año (009)",381,298,3,2,78
"De 1 a 14 años (010)",6283,5366,86,67,766
"De 15 a 29 años (011)",3770,1311,50,22,2389
"De 30 a 44 años (012)",2866,945,87,32,1805
"De 45 a 64 años (013)",2097,560,53,23,1461
"De 65 y mas años (014)",1112,191,17,5,899
"Mujeres (016)",16476,9734,328,185,6235
"Menos de 1 año (017)",354,274,8,4,68
"De 1 a 14 años (018)",6157,5295,85,68,711
"De 15 a 29 años (019)",3825,1855,68,50,1855
"De 30 a 44 años (020)",2903,1409,121,33,1340
"De 45 a 64 años (021)",2124,696,37,25,1367
"De 65 y mas años (022)",1113,205,9,5,894
,,,,,
"URBANA (024)",4886,2180,344,67,2296
"Menos de 1 año (025)",97,62,8,,27
"De 1 a 14 años (026)",1637,1162,112,13,350
"De 15 a 29 años (027)",1071,396,58,11,607
"De 30 a 44 años (028)",1013,304,112,24,573
"De 45 a 64 años (029)",756,183,46,19,508
"De 65 y mas años (030)",312,73,8,,231
"Hombres (032)",2361,990,167,43,1162
"Menos de 1 año (033)",48,29,2,,17
"De 1 a 14 años (034)",838,588,57,6,187
"De 15 a 29 años (035)",487,145,26,5,312
"De 30 a 44 años (036)",485,120,47,18,300
"De 45 a 64 años (037)",356,76,28,14,238
"De 65 y mas años (038)",147,32,7,,108
"Mujeres (040)",2525,1190,177,24,1134
"Menos de 1 año (041)",49,33,6,,10
"De 1 a 14 años (042)",799,574,55,7,163
"De 15 a 29 años (043)",584,251,32,6,295
"De 30 a 44 años (044)",528,184,65,6,273
"De 45 a 64 años (045)",400,107,18,5,270
"De 65 y mas años (046)",165,41,1,,123
,,,,,
"RURAL (048)",28099,16225,280,269,11337
"Menos de 1 año (049)",638,510,3,6,119
"De 1 a 14 años (050)",10803,9499,59,122,1127
"De 15 a 29 años (051)",6524,2770,60,61,3637
"De 30 a 44 años (052)",4756,2050,96,41,2572
"De 45 a 64 años (053)",3465,1073,44,29,2320
"De 65 y mas años (054)",1913,323,18,10,1562
"Hombres (056)",14148,7681,129,108,6236
"Menos de 1 año (057)",333,269,1,2,61
"De 1 a 14 años (058)",5445,4778,29,61,579
"De 15 a 29 años (059)",3283,1166,24,17,2077
"De 30 a 44 años (060)",2381,825,40,14,1505
"De 45 a 64 años (061)",1741,484,25,9,1223
"De 65 y mas años (062)",965,159,10,5,791
"Mujeres (064)",13951,8544,151,161,5101
"Menos de 1 año (065)",305,241,2,4,58
"De 1 a 14 años (066)",5358,4721,30,61,548
"De 15 a 29 años (067)",3241,1604,36,44,1560
"De 30 a 44 años (068)",2375,1225,56,27,1067
"De 45 a 64 años (069)",1724,589,19,20,1097
"De 65 y mas años (070)",948,164,8,5,771
