"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SULLANA (000)",79523,678,26146,25478,10126,3763,1635,405,76,,11216
"Sin Nivel (001)",8996,165,3557,2671,867,364,195,85,18,,1074
"Educación Inicial (002)",65,1,26,15,8,1,,,,,14
"Primaria (003)",26403,292,10533,8202,2808,1078,595,151,26,,2718
"Secundaria (004)",22991,159,8571,7623,2381,797,318,58,15,,3069
"Sup. no Univ. Incompleta (005)",4586,20,1146,1735,607,198,67,11,,,802
"Sup. no Univ. Completa (006)",9512,26,1316,3202,2127,785,273,51,6,,1726
"Sup. Univ. Incompleta (007)",2312,5,464,749,313,100,29,5,2,,645
"Sup. Univ. Completa (008)",4658,10,533,1281,1015,440,158,44,9,,1168
,,,,,,,,,,,
"URBANA (010)",72399,616,23466,23199,9409,3536,1514,377,65,,10217
"Sin Nivel (011)",7651,149,3069,2244,726,318,171,75,12,,887
"Educación Inicial (012)",61,1,24,15,6,1,,,,,14
"Primaria (013)",22455,259,8993,6955,2405,936,518,139,21,,2229
"Secundaria (014)",21512,149,7977,7141,2262,772,307,55,15,,2834
"Sup. no Univ. Incompleta (015)",4478,19,1123,1697,595,193,64,11,,,776
"Sup. no Univ. Completa (016)",9356,24,1301,3147,2102,777,267,48,6,,1684
"Sup. Univ. Incompleta (017)",2271,5,453,734,308,99,29,5,2,,636
"Sup. Univ. Completa (018)",4615,10,526,1266,1005,440,158,44,9,,1157
,,,,,,,,,,,
"RURAL (020)",7124,62,2680,2279,717,227,121,28,11,,999
"Sin Nivel (021)",1345,16,488,427,141,46,24,10,6,,187
"Educación Inicial (022)",4,,2,,2,,,,,,
"Primaria (023)",3948,33,1540,1247,403,142,77,12,5,,489
"Secundaria (024)",1479,10,594,482,119,25,11,3,,,235
"Sup. no Univ. Incompleta (025)",108,1,23,38,12,5,3,,,,26
"Sup. no Univ. Completa (026)",156,2,15,55,25,8,6,3,,,42
"Sup. Univ. Incompleta (027)",41,,11,15,5,1,,,,,9
"Sup. Univ. Completa (028)",43,,7,15,10,,,,,,11
