"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MAYNAS (000)",344,306,38
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",184,181,3
"Casa pensión (003)",11,11,
"Hospital, clinica (004)",18,17,1
"Cárcel, centro de readaptación social (005)",6,5,1
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",9,9,
"Otro (008)",96,67,29
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",19,15,4
