"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUAYLAS (000)",46485,9006,4105,1015,32397
"Hombres (001)",22818,4369,2055,644,15778
"Mujeres (002)",23667,4637,2050,371,16619
"PEA (003)",16819,865,2050,500,13432
"Hombres (004)",12259,586,1201,381,10111
"Mujeres (005)",4560,279,849,119,3321
"Ocupada (006)",16097,836,2015,486,12788
"Hombres (007)",11691,568,1174,369,9600
"Mujeres (008)",4406,268,841,117,3188
"Desocupada (009)",722,29,35,14,644
"Hombres (010)",568,18,27,12,511
"Mujeres (011)",154,11,8,2,133
"No PEA (012)",29666,8141,2055,515,18965
"Hombres (013)",10559,3783,854,263,5667
"Mujeres (014)",19107,4358,1201,252,13298
,,,,,
"URBANA (018)",15513,1573,3139,719,10113
"Hombres (019)",7545,746,1533,457,4832
"Mujeres (020)",7968,827,1606,262,5281
"PEA (021)",6988,225,1621,380,4784
"Hombres (022)",4333,126,890,282,3051
"Mujeres (023)",2655,99,731,98,1733
"Ocupada (024)",6619,212,1589,368,4472
"Hombres (025)",4078,121,866,272,2835
"Mujeres (026)",2541,91,723,96,1637
"Desocupada (027)",369,13,32,12,312
"Hombres (028)",255,5,24,10,216
"Mujeres (029)",114,8,8,2,96
"No PEA (030)",8525,1348,1518,339,5329
"Hombres (031)",3212,620,643,175,1781
"Mujeres (032)",5313,728,875,164,3548
,,,,,
"RURAL (036)",30972,7433,966,296,22284
"Hombres (037)",15273,3623,522,187,10946
"Mujeres (038)",15699,3810,444,109,11338
"PEA (039)",9831,640,429,120,8648
"Hombres (040)",7926,460,311,99,7060
"Mujeres (041)",1905,180,118,21,1588
"Ocupada (042)",9478,624,426,118,8316
"Hombres (043)",7613,447,308,97,6765
"Mujeres (044)",1865,177,118,21,1551
"Desocupada (045)",353,16,3,2,332
"Hombres (046)",313,13,3,2,295
"Mujeres (047)",40,3,,,37
"No PEA (048)",21141,6793,537,176,13636
"Hombres (049)",7347,3163,211,88,3886
"Mujeres (050)",13794,3630,326,88,9750
