"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MANU (000)",20290,483,5653,7146,4729,1957,322
"Hombres (001)",11620,234,2889,4019,2938,1334,206
"Mujeres (002)",8670,249,2764,3127,1791,623,116
"Viviendas particulares (003)",18562,466,5493,6284,4242,1768,309
"Hombres (004)",10396,224,2807,3437,2550,1184,194
"Mujeres (005)",8166,242,2686,2847,1692,584,115
"Viviendas colectivas (006)",1113,14,117,570,297,105,10
"Hombres (007)",740,8,56,352,234,81,9
"Mujeres (008)",373,6,61,218,63,24,1
"Otro tipo (009)",615,3,43,292,190,84,3
"Hombres (010)",484,2,26,230,154,69,3
"Mujeres (011)",131,1,17,62,36,15,
,,,,,,,
"URBANA (012)",7261,185,2391,2160,1725,695,105
"Hombres (013)",3722,89,1215,1016,901,435,66
"Mujeres (014)",3539,96,1176,1144,824,260,39
"Viviendas particulares (015)",7013,184,2369,2054,1641,661,104
"Hombres (016)",3565,89,1205,952,842,412,65
"Mujeres (017)",3448,95,1164,1102,799,249,39
"Viviendas colectivas (018)",144,1,17,65,45,16,
"Hombres (019)",80,,8,33,28,11,
"Mujeres (020)",64,1,9,32,17,5,
"Otro tipo (021)",104,,5,41,39,18,1
"Hombres (022)",77,,2,31,31,12,1
"Mujeres (023)",27,,3,10,8,6,
,,,,,,,
"RURAL (024)",13029,298,3262,4986,3004,1262,217
"Hombres (025)",7898,145,1674,3003,2037,899,140
"Mujeres (026)",5131,153,1588,1983,967,363,77
"Viviendas particulares (027)",11549,282,3124,4230,2601,1107,205
"Hombres (028)",6831,135,1602,2485,1708,772,129
"Mujeres (029)",4718,147,1522,1745,893,335,76
"Viviendas colectivas (030)",969,13,100,505,252,89,10
"Hombres (031)",660,8,48,319,206,70,9
"Mujeres (032)",309,5,52,186,46,19,1
"Otro tipo (033)",511,3,38,251,151,66,2
"Hombres (034)",407,2,24,199,123,57,2
"Mujeres (035)",104,1,14,52,28,9,
