"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AMBO (000)",51728,10560,1087,26188,11073,797,711,590,722
"Jefe o Jefa (001)",13392,2530,8,7428,2566,182,262,121,295
"Esposa(o)/ compa¤era(o) (002)",8894,2974,9,4274,1264,97,122,49,105
"Hijo(a)/ hijastro(a) (003)",23289,3615,879,11744,5843,398,245,338,227
"Yerno/ nuera (004)",505,35,,179,195,27,23,14,32
"Nieto(a) (005)",2186,514,130,1109,378,22,8,20,5
"Padres/ suegros (006)",616,382,,197,26,2,1,1,7
"Otro(a) pariente (007)",2448,454,59,1128,648,55,36,36,32
"Trabajador(a) del hogar (008)",45,7,,18,19,,1,,
"Pensionista (009)",12,,,2,7,,,1,2
"Otro(a) no pariente (010)",341,49,2,109,127,14,13,10,17
"Hombres (012)",25814,3668,569,13790,6340,394,343,313,397
"Jefe o Jefa (013)",10347,1275,7,6243,2142,144,196,95,245
"Esposa(o)/ compa¤era(o) (014)",294,33,,139,98,6,4,8,6
"Hijo(a)/ hijastro(a) (015)",12165,1813,463,6029,3320,181,99,165,95
"Yerno/ nuera (016)",231,14,,77,87,12,13,10,18
"Nieto(a) (017)",1136,259,67,562,215,13,4,12,4
"Padres/ suegros (018)",178,62,,94,12,1,1,1,7
"Otro(a) pariente (019)",1243,183,31,577,375,29,17,16,15
"Trabajador(a) del hogar (020)",20,4,,5,10,,1,,
"Pensionista (021)",8,,,2,3,,,1,2
"Otro(a) no pariente (022)",192,25,1,62,78,8,8,5,5
"Mujeres (024)",25914,6892,518,12398,4733,403,368,277,325
"Jefe o Jefa (025)",3045,1255,1,1185,424,38,66,26,50
"Esposa(o)/ compa¤era(o) (026)",8600,2941,9,4135,1166,91,118,41,99
"Hijo(a)/ hijastro(a) (027)",11124,1802,416,5715,2523,217,146,173,132
"Yerno/ nuera (028)",274,21,,102,108,15,10,4,14
"Nieto(a) (029)",1050,255,63,547,163,9,4,8,1
"Padres/ suegros (030)",438,320,,103,14,1,,,
"Otro(a) pariente (031)",1205,271,28,551,273,26,19,20,17
"Trabajador(a) del hogar (032)",25,3,,13,9,,,,
"Pensionista (033)",4,,,,4,,,,
"Otro(a) no pariente (034)",149,24,1,47,49,6,5,5,12
,,,,,,,,,
"URBANA (036)",17100,2415,355,6890,5331,547,507,465,590
"Jefe o Jefa (037)",4532,565,4,1970,1342,135,195,92,229
"Esposa(o)/ compa¤era(o) (038)",2695,558,2,1160,684,69,90,43,89
"Hijo(a)/ hijastro(a) (039)",7358,852,268,2822,2535,259,166,264,192
"Yerno/ nuera (040)",213,6,,28,106,18,16,10,29
"Nieto(a) (041)",801,181,58,348,170,16,5,18,5
"Padres/ suegros (042)",241,106,,103,22,2,1,1,6
"Otro(a) pariente (043)",984,118,22,381,355,37,22,27,22
"Trabajador(a) del hogar (044)",22,2,,10,9,,1,,
"Pensionista (045)",8,,,1,4,,,1,2
"Otro(a) no pariente (046)",246,27,1,67,104,11,11,9,16
