"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PACHITEA (000)",50529,16037,15654,9624,6363,2851
"Hombres (001)",25636,8175,7797,4895,3332,1437
"Mujeres (002)",24893,7862,7857,4729,3031,1414
"PEA (003)",17566,469,7139,5345,3482,1131
"Hombres (004)",15116,396,6051,4624,3028,1017
"Mujeres (005)",2450,73,1088,721,454,114
"Ocupada (006)",16666,425,6607,5148,3389,1097
"Hombres (007)",14501,365,5713,4484,2949,990
"Mujeres (008)",2165,60,894,664,440,107
"Desocupada (009)",900,44,532,197,93,34
"Hombres (010)",615,31,338,140,79,27
"Mujeres (011)",285,13,194,57,14,7
"No PEA (012)",32963,15568,8515,4279,2881,1720
"Hombres (013)",10520,7779,1746,271,304,420
"Mujeres (014)",22443,7789,6769,4008,2577,1300
,,,,,,
"URBANA (018)",7546,2096,2350,1694,1022,384
"Hombres (019)",3807,1076,1150,837,548,196
"Mujeres (020)",3739,1020,1200,857,474,188
"PEA (021)",2823,44,996,1033,619,131
"Hombres (022)",2079,27,718,749,478,107
"Mujeres (023)",744,17,278,284,141,24
"Ocupada (024)",2579,34,849,975,595,126
"Hombres (025)",1907,22,617,709,456,103
"Mujeres (026)",672,12,232,266,139,23
"Desocupada (027)",244,10,147,58,24,5
"Hombres (028)",172,5,101,40,22,4
"Mujeres (029)",72,5,46,18,2,1
"No PEA (030)",4723,2052,1354,661,403,253
"Hombres (031)",1728,1049,432,88,70,89
"Mujeres (032)",2995,1003,922,573,333,164
,,,,,,
"RURAL (036)",42983,13941,13304,7930,5341,2467
"Hombres (037)",21829,7099,6647,4058,2784,1241
"Mujeres (038)",21154,6842,6657,3872,2557,1226
"PEA (039)",14743,425,6143,4312,2863,1000
"Hombres (040)",13037,369,5333,3875,2550,910
"Mujeres (041)",1706,56,810,437,313,90
"Ocupada (042)",14087,391,5758,4173,2794,971
"Hombres (043)",12594,343,5096,3775,2493,887
"Mujeres (044)",1493,48,662,398,301,84
"Desocupada (045)",656,34,385,139,69,29
"Hombres (046)",443,26,237,100,57,23
"Mujeres (047)",213,8,148,39,12,6
"No PEA (048)",28240,13516,7161,3618,2478,1467
"Hombres (049)",8792,6730,1314,183,234,331
"Mujeres (050)",19448,6786,5847,3435,2244,1136
