"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BOLIVAR (000)",3803,52,1678,1226,313,85,55,23,3,,368
"Sin Nivel (001)",1061,21,472,318,76,25,22,8,1,,118
"Educación Inicial (002)",3,,3,,,,,,,,
"Primaria (003)",1832,23,899,582,117,34,21,13,2,,141
"Secundaria (004)",490,4,206,185,33,6,5,2,,,49
"Sup. no Univ. Incompleta (005)",77,,22,34,11,1,,,,,9
"Sup. no Univ. Completa (006)",200,,52,64,42,11,3,,,,28
"Sup. Univ. Incompleta (007)",41,1,4,16,10,4,2,,,,4
"Sup. Univ. Completa (008)",99,3,20,27,24,4,2,,,,19
,,,,,,,,,,,
"URBANA (010)",1429,19,544,481,157,45,27,14,,,142
"Sin Nivel (011)",241,4,110,61,17,7,6,3,,,33
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",603,9,266,202,47,18,11,9,,,41
"Secundaria (014)",266,2,105,108,19,3,4,2,,,23
"Sup. no Univ. Incompleta (015)",56,,13,26,10,1,,,,,6
"Sup. no Univ. Completa (016)",145,,30,48,36,9,3,,,,19
"Sup. Univ. Incompleta (017)",30,1,2,11,8,3,1,,,,4
"Sup. Univ. Completa (018)",87,3,17,25,20,4,2,,,,16
,,,,,,,,,,,
"RURAL (020)",2374,33,1134,745,156,40,28,9,3,,226
"Sin Nivel (021)",820,17,362,257,59,18,16,5,1,,85
"Educación Inicial (022)",2,,2,,,,,,,,
"Primaria (023)",1229,14,633,380,70,16,10,4,2,,100
"Secundaria (024)",224,2,101,77,14,3,1,,,,26
"Sup. no Univ. Incompleta (025)",21,,9,8,1,,,,,,3
"Sup. no Univ. Completa (026)",55,,22,16,6,2,,,,,9
"Sup. Univ. Incompleta (027)",11,,2,5,2,1,1,,,,
"Sup. Univ. Completa (028)",12,,3,2,4,,,,,,3
