"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUAROCHIRI (000)",18458,12155,6303
"Red pública dentro de la vivienda (001)",7144,6454,690
"Red pública fuera de la vivienda (002)",2126,1722,404
"Pilón de uso público (003)",1776,973,803
"Camión - cisterna u otro similar (004)",846,198,648
"Pozo (005)",413,148,265
"Río, acequia, manatial o similar (006)",5333,2213,3120
"Vecino (007)",535,310,225
"Otro (008)",285,137,148
,,,
"URBANA (010)",12149,9858,2291
"Red pública dentro de la vivienda (011)",6178,5742,436
"Red pública fuera de la vivienda (012)",1850,1598,252
"Pilón de uso público (013)",1046,745,301
"Camión - cisterna u otro similar (014)",16,5,11
"Pozo (015)",109,85,24
"Río, acequia, manatial o similar (016)",2310,1300,1010
"Vecino (017)",473,294,179
"Otro (018)",167,89,78
,,,
"RURAL (020)",6309,2297,4012
"Red pública dentro de la vivienda (021)",966,712,254
"Red pública fuera de la vivienda (022)",276,124,152
"Pilón de uso público (023)",730,228,502
"Camión - cisterna u otro similar (024)",830,193,637
"Pozo (025)",304,63,241
"Río, acequia, manatial o similar (026)",3023,913,2110
"Vecino (027)",62,16,46
"Otro (028)",118,48,70
