"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUARMEY (000)",27820,450,8021,7116,5884,4181,2168
"Hombres (001)",14476,224,4178,3701,3026,2210,1137
"Mujeres (002)",13344,226,3843,3415,2858,1971,1031
"Viviendas particulares (003)",27279,447,7997,6933,5672,4073,2157
"Hombres (004)",14025,222,4166,3550,2841,2118,1128
"Mujeres (005)",13254,225,3831,3383,2831,1955,1029
"Viviendas colectivas (006)",346,1,4,110,154,73,4
"Hombres (007)",305,,1,96,139,65,4
"Mujeres (008)",41,1,3,14,15,8,
"Otro tipo (009)",195,2,20,73,58,35,7
"Hombres (010)",146,2,11,55,46,27,5
"Mujeres (011)",49,,9,18,12,8,2
,,,,,,,
"URBANA (012)",21100,334,5971,5326,4626,3182,1661
"Hombres (013)",10773,164,3067,2709,2336,1637,860
"Mujeres (014)",10327,170,2904,2617,2290,1545,801
"Viviendas particulares (015)",20609,331,5954,5169,4423,3080,1652
"Hombres (016)",10358,162,3057,2579,2159,1549,852
"Mujeres (017)",10251,169,2897,2590,2264,1531,800
"Viviendas colectivas (018)",330,1,4,103,148,70,4
"Hombres (019)",290,,1,89,133,63,4
"Mujeres (020)",40,1,3,14,15,7,
"Otro tipo (021)",161,2,13,54,55,32,5
"Hombres (022)",125,2,9,41,44,25,4
"Mujeres (023)",36,,4,13,11,7,1
,,,,,,,
"RURAL (024)",6720,116,2050,1790,1258,999,507
"Hombres (025)",3703,60,1111,992,690,573,277
"Mujeres (026)",3017,56,939,798,568,426,230
"Viviendas particulares (027)",6670,116,2043,1764,1249,993,505
"Hombres (028)",3667,60,1109,971,682,569,276
"Mujeres (029)",3003,56,934,793,567,424,229
"Viviendas colectivas (030)",16,,,7,6,3,
"Hombres (031)",15,,,7,6,2,
"Mujeres (032)",1,,,,,1,
"Otro tipo (033)",34,,7,19,3,3,2
"Hombres (034)",21,,2,14,2,2,1
"Mujeres (035)",13,,5,5,1,1,1
