"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MARISCAL NIETO (000)",69509,6834,22317,4251,36353
"Quechua (001)",3093,212,815,193,1881
"Aymara (002)",10875,646,2110,478,7657
"Asháninka (003)",31,4,9,7,15
"Otra lengua nativa (004)",154,14,49,23,77
"Castellano (005)",55268,5945,19318,3544,26670
"Idioma Extranjero (006)",23,1,4,5,13
"Es Sordomudo/a (007)",65,12,12,1,40
"Hombres (009)",35516,3210,12130,2708,17638
"Quechua (010)",1600,83,511,149,863
"Aymara (011)",5432,263,1320,318,3544
"Asháninka (012)",14,3,3,4,6
"Otra lengua nativa (013)",79,6,26,16,36
"Castellano (014)",28339,2845,10259,2218,13161
"Idioma Extranjero (015)",11,1,2,2,6
"Es Sordomudo/a (016)",41,9,9,1,22
"Mujeres (018)",33993,3624,10187,1543,18715
"Quechua (019)",1493,129,304,44,1018
"Aymara (020)",5443,383,790,160,4113
"Asháninka (021)",17,1,6,3,9
"Otra lengua nativa (022)",75,8,23,7,41
"Castellano (023)",26929,3100,9059,1326,13509
"Idioma Extranjero (024)",12,,2,3,7
"Es Sordomudo/a (025)",24,3,3,,18
,,,,,
"URBANA (027)",59848,6012,19975,3730,30370
"Quechua (028)",2748,198,669,184,1704
"Aymara (029)",8155,514,1652,375,5628
"Asháninka (030)",26,3,9,6,12
"Otra lengua nativa (031)",99,12,40,18,38
"Castellano (032)",48748,5273,17591,3141,22948
"Idioma Extranjero (033)",23,1,4,5,13
"Es Sordomudo/a (034)",49,11,10,1,27
"Hombres (036)",30039,2794,10499,2377,14532
"Quechua (037)",1350,76,381,140,758
"Aymara (038)",3926,191,959,252,2535
"Asháninka (039)",10,2,3,4,3
"Otra lengua nativa (040)",48,4,20,12,17
"Castellano (041)",24662,2512,9127,1966,11197
"Idioma Extranjero (042)",11,1,2,2,6
"Es Sordomudo/a (043)",32,8,7,1,16
"Mujeres (045)",29809,3218,9476,1353,15838
"Quechua (046)",1398,122,288,44,946
"Aymara (047)",4229,323,693,123,3093
"Asháninka (048)",16,1,6,2,9
"Otra lengua nativa (049)",51,8,20,6,21
"Castellano (050)",24086,2761,8464,1175,11751
"Idioma Extranjero (051)",12,,2,3,7
"Es Sordomudo/a (052)",17,3,3,,11
,,,,,
"RURAL (054)",9661,822,2342,521,5983
"Quechua (055)",345,14,146,9,177
"Aymara (056)",2720,132,458,103,2029
"Asháninka (057)",5,1,,1,3
"Otra lengua nativa (058)",55,2,9,5,39
"Castellano (059)",6520,672,1727,403,3722
"Es Sordomudo/a (061)",16,1,2,,13
"Hombres (063)",5477,416,1631,331,3106
"Quechua (064)",250,7,130,9,105
"Aymara (065)",1506,72,361,66,1009
"Asháninka (066)",4,1,,,3
"Otra lengua nativa (067)",31,2,6,4,19
"Castellano (068)",3677,333,1132,252,1964
"Es Sordomudo/a (070)",9,1,2,,6
"Mujeres (072)",4184,406,711,190,2877
"Quechua (073)",95,7,16,,72
"Aymara (074)",1214,60,97,37,1020
"Asháninka (075)",1,,,1,
"Otra lengua nativa (076)",24,,3,1,20
"Castellano (077)",2843,339,595,151,1758
"Es Sordomudo/a (079)",7,,,,7
