"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia URUBAMBA (000)",42516,6633,7987,8769,6941,4970,7216
"Católica (001)",38892,6199,7319,7618,6358,4598,6800
"Cristiana/Evangélica (002)",2242,341,424,686,370,218,203
"Otra (003)",626,61,126,126,110,88,115
"Ninguna (004)",756,32,118,339,103,66,98
"Hombres (006)",21676,3337,4237,4459,3524,2614,3505
"Católica (007)",19740,3116,3887,3840,3204,2423,3270
"Cristiana/Evangélica (008)",1141,175,207,362,189,106,102
"Otra (009)",350,29,70,62,66,50,73
"Ninguna (010)",445,17,73,195,65,35,60
"Mujeres (012)",20840,3296,3750,4310,3417,2356,3711
"Católica (013)",19152,3083,3432,3778,3154,2175,3530
"Cristiana/Evangélica (014)",1101,166,217,324,181,112,101
"Otra (015)",276,32,56,64,44,38,42
"Ninguna (016)",311,15,45,144,38,31,38
,,,,,,,
"URBANA (018)",21603,2996,4204,5036,3468,2445,3454
"Católica (019)",19196,2764,3773,4174,3112,2193,3180
"Cristiana/Evangélica (020)",1211,156,226,437,170,123,99
"Otra (021)",518,51,105,112,96,69,85
"Ninguna (022)",678,25,100,313,90,60,90
"Hombres (024)",10992,1484,2151,2592,1777,1272,1716
"Católica (025)",9668,1368,1913,2119,1581,1133,1554
"Cristiana/Evangélica (026)",641,78,119,241,82,66,55
"Otra (027)",287,24,57,54,58,41,53
"Ninguna (028)",396,14,62,178,56,32,54
"Mujeres (030)",10611,1512,2053,2444,1691,1173,1738
"Católica (031)",9528,1396,1860,2055,1531,1060,1626
"Cristiana/Evangélica (032)",570,78,107,196,88,57,44
"Otra (033)",231,27,48,58,38,28,32
"Ninguna (034)",282,11,38,135,34,28,36
,,,,,,,
"RURAL (036)",20913,3637,3783,3733,3473,2525,3762
"Católica (037)",19696,3435,3546,3444,3246,2405,3620
"Cristiana/Evangélica (038)",1031,185,198,249,200,95,104
"Otra (039)",108,10,21,14,14,19,30
"Ninguna (040)",78,7,18,26,13,6,8
"Hombres (042)",10684,1853,2086,1867,1747,1342,1789
"Católica (043)",10072,1748,1974,1721,1623,1290,1716
"Cristiana/Evangélica (044)",500,97,88,121,107,40,47
"Otra (045)",63,5,13,8,8,9,20
"Ninguna (046)",49,3,11,17,9,3,6
"Mujeres (048)",10229,1784,1697,1866,1726,1183,1973
"Católica (049)",9624,1687,1572,1723,1623,1115,1904
"Cristiana/Evangélica (050)",531,88,110,128,93,55,57
"Otra (051)",45,5,8,6,6,10,10
"Ninguna (052)",29,4,7,9,4,3,2
