"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTROVIRREYNA (000)",6492,4875,631,477,509
"Agric., ganadería, caza y silvicultura (001)",3333,3268,55,8,2
"Pesca (002)",5,5,,,
"Explotación de minas y canteras (003)",856,431,177,185,63
"Industrias manufactureras (004)",147,70,31,30,16
"Suministro de electricidad, gas y agua (005)",12,3,1,7,1
"Construcción (006)",342,185,59,91,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",363,337,17,9,
"Venta, mant.y rep. veh.autom y motoc. (008)",38,20,11,7,
"Comercio al por mayor (009)",13,13,,,
"Comercio al por menor (010)",312,304,6,2,
"Hoteles y restaurantes (011)",127,97,28,1,1
"Trans., almac. y comunicaciones (012)",132,93,13,21,5
"Intermediación financiera (013)",3,1,,1,1
"Activid.inmobil., empres. y alquileres (014)",85,42,28,9,6
"Admin.pub. y defensa; p. segur soc.afil (015)",326,,,,326
"Enseñanza (016)",492,191,189,102,10
"Servicios sociales y de salud (017)",87,18,2,1,66
"Otras activ. serv.comun.soc y personales (018)",19,7,6,2,4
"Hogares privados con servicio doméstico (019)",50,50,,,
"Actividad economica no especificada (021)",113,77,25,10,1
"Hombres (022)",4531,3249,503,407,372
"Agric., ganadería, caza y silvicultura (023)",2201,2152,42,5,2
"Pesca (024)",4,4,,,
"Explotación de minas y canteras (025)",839,420,175,181,63
"Industrias manufactureras (026)",132,66,27,28,11
"Suministro de electricidad, gas y agua (027)",11,2,1,7,1
"Construcción (028)",327,183,57,80,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",169,145,15,9,
"Venta, mant.y rep. veh.autom y motoc. (030)",38,20,11,7,
"Comercio al por mayor (031)",7,7,,,
"Comercio al por menor (032)",124,118,4,2,
"Hoteles y restaurantes (033)",39,25,14,,
"Trans., almac. y comunicaciones (034)",128,89,13,21,5
"Intermediación financiera (035)",1,,,,1
"Activid.inmobil., empres. y alquileres (036)",72,33,26,7,6
"Admin.pub. y defensa; p. segur soc.afil (037)",240,,,,240
"Enseñanza (038)",244,73,108,57,6
"Servicios sociales y de salud (039)",39,8,2,1,28
"Otras activ. serv.comun.soc y personales (040)",11,3,5,2,1
"Hogares privados con servicio doméstico (041)",9,9,,,
"Actividad economica no especificada (043)",65,37,18,9,1
