"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia ZARUMILLA",,,,
"Viviendas particulares (001)",7692,5750,972,970
"Ocupantes presentes (002)",30582,23697,3659,3226
"Casa independiente",,,,
"Viviendas particulares (004)",7381,5529,900,952
"Ocupantes presentes (005)",29649,23020,3478,3151
"Departamento en edificio",,,,
"Viviendas particulares (007)",68,62,6,
"Ocupantes presentes (008)",199,181,18,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",164,110,54,
"Ocupantes presentes (011)",452,321,131,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",26,24,2,
"Ocupantes presentes (014)",86,83,3,
"Choza o cabaña",,,,
"Viviendas particulares (016)",1,,,1
"Ocupantes presentes (017)",3,,,3
"Vivienda improvisada",,,,
"Viviendas particulares (019)",26,13,4,9
"Ocupantes presentes (020)",93,39,15,39
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",21,12,6,3
"Ocupantes presentes (023)",84,53,14,17
"Otro tipo",,,,
"Viviendas particulares (025)",5,,,5
"Ocupantes presentes (026)",16,,,16
Si,,,,
"Viviendas particulares (028)",6658,5223,789,646
"Ocupantes presentes (029)",26715,21521,3000,2194
"Casa independiente",,,,
"Viviendas particulares (031)",6385,5028,724,633
"Ocupantes presentes (032)",25907,20938,2831,2138
"Departamento en edificio",,,,
"Viviendas particulares (034)",68,62,6,
"Ocupantes presentes (035)",199,181,18,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",149,101,48,
"Ocupantes presentes (038)",405,285,120,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",12,10,2,
"Ocupantes presentes (041)",36,33,3,
"Choza o cabaña",,,,
"Viviendas particulares (043)",1,,,1
"Ocupantes presentes (044)",3,,,3
"Vivienda improvisada",,,,
"Viviendas particulares (046)",22,11,4,7
"Ocupantes presentes (047)",76,33,15,28
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",18,11,5,2
"Ocupantes presentes (050)",77,51,13,13
"Otro tipo",,,,
"Viviendas particulares (052)",3,,,3
"Ocupantes presentes (053)",12,,,12
No,,,,
"Viviendas particulares (055)",1034,527,183,324
"Ocupantes presentes (056)",3867,2176,659,1032
"Casa independiente",,,,
"Viviendas particulares (058)",996,501,176,319
"Ocupantes presentes (059)",3742,2082,647,1013
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",15,9,6,
"Ocupantes presentes (065)",47,36,11,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",14,14,,
"Ocupantes presentes (068)",50,50,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (073)",4,2,,2
"Ocupantes presentes (074)",17,6,,11
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",3,1,1,1
"Ocupantes presentes (077)",7,2,1,4
"Otro tipo",,,,
"Viviendas particulares (079)",2,,,2
"Ocupantes presentes (080)",4,,,4
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",7165,5433,822,910
"Ocupantes presentes (110)",28437,22386,3054,2997
"Casa independiente",,,,
"Viviendas particulares (112)",6856,5212,751,893
"Ocupantes presentes (113)",27511,21709,2877,2925
"Departamento en edificio",,,,
"Viviendas particulares (115)",68,62,6,
"Ocupantes presentes (116)",199,181,18,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",164,110,54,
"Ocupantes presentes (119)",452,321,131,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",26,24,2,
"Ocupantes presentes (122)",86,83,3,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",26,13,4,9
"Ocupantes presentes (128)",93,39,15,39
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",20,12,5,3
"Ocupantes presentes (131)",80,53,10,17
"Otro tipo",,,,
"Viviendas particulares (133)",5,,,5
"Ocupantes presentes (134)",16,,,16
Si,,,,
"Viviendas particulares (136)",6169,4913,646,610
"Ocupantes presentes (137)",24718,20232,2420,2066
"Casa independiente",,,,
"Viviendas particulares (139)",5898,4718,582,598
"Ocupantes presentes (140)",23917,19649,2255,2013
"Departamento en edificio",,,,
"Viviendas particulares (142)",68,62,6,
"Ocupantes presentes (143)",199,181,18,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",149,101,48,
"Ocupantes presentes (146)",405,285,120,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",12,10,2,
"Ocupantes presentes (149)",36,33,3,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",22,11,4,7
"Ocupantes presentes (155)",76,33,15,28
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",17,11,4,2
"Ocupantes presentes (158)",73,51,9,13
"Otro tipo",,,,
"Viviendas particulares (160)",3,,,3
"Ocupantes presentes (161)",12,,,12
No,,,,
"Viviendas particulares (163)",996,520,176,300
"Ocupantes presentes (164)",3719,2154,634,931
"Casa independiente",,,,
"Viviendas particulares (166)",958,494,169,295
"Ocupantes presentes (167)",3594,2060,622,912
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",15,9,6,
"Ocupantes presentes (173)",47,36,11,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",14,14,,
"Ocupantes presentes (176)",50,50,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",4,2,,2
"Ocupantes presentes (182)",17,6,,11
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",3,1,1,1
"Ocupantes presentes (185)",7,2,1,4
"Otro tipo",,,,
"Viviendas particulares (187)",2,,,2
"Ocupantes presentes (188)",4,,,4
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",527,317,150,60
"Ocupantes presentes (218)",2145,1311,605,229
"Casa independiente",,,,
"Viviendas particulares (220)",525,317,149,59
"Ocupantes presentes (221)",2138,1311,601,226
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",1,,,1
"Ocupantes presentes (233)",3,,,3
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,,1,
"Ocupantes presentes (239)",4,,4,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",489,310,143,36
"Ocupantes presentes (245)",1997,1289,580,128
"Casa independiente",,,,
"Viviendas particulares (247)",487,310,142,35
"Ocupantes presentes (248)",1990,1289,576,125
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",1,,,1
"Ocupantes presentes (260)",3,,,3
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,,1,
"Ocupantes presentes (266)",4,,4,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",38,7,7,24
"Ocupantes presentes (272)",148,22,25,101
"Casa independiente",,,,
"Viviendas particulares (274)",38,7,7,24
"Ocupantes presentes (275)",148,22,25,101
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
