"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia CHANCHAMAYO",,,,,
"Viviendas particulares (001)",1354,296,93,259,706
"Ocupantes presentes (002)",5743,1205,386,1122,3030
"Casa independiente",,,,,
"Viviendas particulares (004)",1209,268,88,241,612
"Ocupantes presentes (005)",5197,1104,364,1038,2691
"Departamento en edificio",,,,,
"Viviendas particulares (007)",15,2,,3,10
"Ocupantes presentes (008)",55,9,,16,30
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",62,16,,9,37
"Ocupantes presentes (011)",220,49,,36,135
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",51,6,2,4,39
"Ocupantes presentes (014)",209,31,6,19,153
"Choza o cabaña",,,,,
"Viviendas particulares (016)",3,,3,,
"Ocupantes presentes (017)",16,,16,,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",14,4,,2,8
"Ocupantes presentes (020)",46,12,,13,21
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",1105,203,71,219,612
"Ocupantes presentes (029)",4668,837,274,941,2616
"Casa independiente",,,,,
"Viviendas particulares (031)",963,175,69,201,518
"Ocupantes presentes (032)",4138,736,268,857,2277
"Departamento en edificio",,,,,
"Viviendas particulares (034)",15,2,,3,10
"Ocupantes presentes (035)",55,9,,16,30
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",62,16,,9,37
"Ocupantes presentes (038)",220,49,,36,135
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",51,6,2,4,39
"Ocupantes presentes (041)",209,31,6,19,153
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",14,4,,2,8
"Ocupantes presentes (047)",46,12,,13,21
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",249,93,22,40,94
"Ocupantes presentes (056)",1075,368,112,181,414
"Casa independiente",,,,,
"Viviendas particulares (058)",246,93,19,40,94
"Ocupantes presentes (059)",1059,368,96,181,414
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",3,,3,,
"Ocupantes presentes (071)",16,,16,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
