"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia EL COLLAO (000)",72814,7885,601,29133,26849,2679,2247,1540,1880
"Hombres (001)",36879,1783,317,13999,15285,1711,1431,1026,1327
"Mujeres (002)",35935,6102,284,15134,11564,968,816,514,553
"PEA (003)",33360,3676,31,11901,13012,1167,1576,587,1410
"Hombres (004)",20181,1085,17,6833,8829,845,1101,435,1036
"Mujeres (005)",13179,2591,14,5068,4183,322,475,152,374
"Ocupada (006)",31442,3611,31,11459,11978,1059,1451,553,1300
"Hombres (007)",18752,1047,17,6495,8034,763,1019,409,968
"Mujeres (008)",12690,2564,14,4964,3944,296,432,144,332
"Desocupada (009)",1918,65,,442,1034,108,125,34,110
"Hombres (010)",1429,38,,338,795,82,82,26,68
"Mujeres (011)",489,27,,104,239,26,43,8,42
"No PEA (012)",39454,4209,570,17232,13837,1512,671,953,470
"Hombres (013)",16698,698,300,7166,6456,866,330,591,291
"Mujeres (014)",22756,3511,270,10066,7381,646,341,362,179
,,,,,,,,,
"URBANA (018)",22876,1015,213,7198,8903,1624,1445,1067,1411
"Hombres (019)",11754,227,109,3277,4680,1005,850,660,946
"Mujeres (020)",11122,788,104,3921,4223,619,595,407,465
"PEA (021)",9917,415,16,2266,3970,750,1040,400,1060
"Hombres (022)",5854,103,10,1110,2439,513,671,271,737
"Mujeres (023)",4063,312,6,1156,1531,237,369,129,323
"Ocupada (024)",9191,399,16,2130,3637,686,970,372,981
"Hombres (025)",5386,97,10,1027,2214,463,632,251,692
"Mujeres (026)",3805,302,6,1103,1423,223,338,121,289
"Desocupada (027)",726,16,,136,333,64,70,28,79
"Hombres (028)",468,6,,83,225,50,39,20,45
"Mujeres (029)",258,10,,53,108,14,31,8,34
"No PEA (030)",12959,600,197,4932,4933,874,405,667,351
"Hombres (031)",5900,124,99,2167,2241,492,179,389,209
"Mujeres (032)",7059,476,98,2765,2692,382,226,278,142
,,,,,,,,,
"RURAL (036)",49938,6870,388,21935,17946,1055,802,473,469
"Hombres (037)",25125,1556,208,10722,10605,706,581,366,381
"Mujeres (038)",24813,5314,180,11213,7341,349,221,107,88
"PEA (039)",23443,3261,15,9635,9042,417,536,187,350
"Hombres (040)",14327,982,7,5723,6390,332,430,164,299
"Mujeres (041)",9116,2279,8,3912,2652,85,106,23,51
"Ocupada (042)",22251,3212,15,9329,8341,373,481,181,319
"Hombres (043)",13366,950,7,5468,5820,300,387,158,276
"Mujeres (044)",8885,2262,8,3861,2521,73,94,23,43
"Desocupada (045)",1192,49,,306,701,44,55,6,31
"Hombres (046)",961,32,,255,570,32,43,6,23
"Mujeres (047)",231,17,,51,131,12,12,,8
"No PEA (048)",26495,3609,373,12300,8904,638,266,286,119
"Hombres (049)",10798,574,201,4999,4215,374,151,202,82
"Mujeres (050)",15697,3035,172,7301,4689,264,115,84,37
