"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia ANDAHUAYLAS (000)",102463,19653,19291,19085,16595,10813,17026
"Católica (001)",82499,15669,15295,15481,13426,8764,13864
"Cristiana/Evangélica (002)",17181,3512,3420,2993,2729,1796,2731
"Otra (003)",1480,238,269,299,240,153,281
"Ninguna (004)",1303,234,307,312,200,100,150
"Hombres (006)",49093,9898,9514,9045,8056,5125,7455
"Católica (007)",39889,8006,7619,7381,6560,4195,6128
"Cristiana/Evangélica (008)",7715,1640,1559,1352,1243,795,1126
"Otra (009)",691,118,135,134,113,71,120
"Ninguna (010)",798,134,201,178,140,64,81
"Mujeres (012)",53370,9755,9777,10040,8539,5688,9571
"Católica (013)",42610,7663,7676,8100,6866,4569,7736
"Cristiana/Evangélica (014)",9466,1872,1861,1641,1486,1001,1605
"Otra (015)",789,120,134,165,127,82,161
"Ninguna (016)",505,100,106,134,60,36,69
,,,,,,,
"URBANA (018)",47372,8843,9488,9525,8177,4894,6445
"Católica (019)",38567,7096,7531,7849,6753,4050,5288
"Cristiana/Evangélica (020)",6961,1432,1565,1239,1119,685,921
"Otra (021)",1006,155,192,223,164,105,167
"Ninguna (022)",838,160,200,214,141,54,69
"Hombres (024)",22675,4335,4638,4415,4011,2384,2892
"Católica (025)",18568,3509,3698,3660,3328,1993,2380
"Cristiana/Evangélica (026)",3090,653,704,530,508,302,393
"Otra (027)",471,75,95,101,71,50,79
"Ninguna (028)",546,98,141,124,104,39,40
"Mujeres (030)",24697,4508,4850,5110,4166,2510,3553
"Católica (031)",19999,3587,3833,4189,3425,2057,2908
"Cristiana/Evangélica (032)",3871,779,861,709,611,383,528
"Otra (033)",535,80,97,122,93,55,88
"Ninguna (034)",292,62,59,90,37,15,29
,,,,,,,
"RURAL (036)",55091,10810,9803,9560,8418,5919,10581
"Católica (037)",43932,8573,7764,7632,6673,4714,8576
"Cristiana/Evangélica (038)",10220,2080,1855,1754,1610,1111,1810
"Otra (039)",474,83,77,76,76,48,114
"Ninguna (040)",465,74,107,98,59,46,81
"Hombres (042)",26418,5563,4876,4630,4045,2741,4563
"Católica (043)",21321,4497,3921,3721,3232,2202,3748
"Cristiana/Evangélica (044)",4625,987,855,822,735,493,733
"Otra (045)",220,43,40,33,42,21,41
"Ninguna (046)",252,36,60,54,36,25,41
"Mujeres (048)",28673,5247,4927,4930,4373,3178,6018
"Católica (049)",22611,4076,3843,3911,3441,2512,4828
"Cristiana/Evangélica (050)",5595,1093,1000,932,875,618,1077
"Otra (051)",254,40,37,43,34,27,73
"Ninguna (052)",213,38,47,44,23,21,40
