"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia BONGARA (000)",247,60,187
"Sin nivel (001)",7,1,6
"Educación inicial (002)",1,,1
"Primaria (003)",103,21,82
"Secundaria (004)",88,27,61
"Superior no univ. incompleta (005)",9,3,6
"Superior no univ. completa (006)",21,4,17
"Superior univ. incompleta (007)",6,2,4
"Superior univ. completa (008)",12,2,10
"Hombres (010)",179,40,139
"Sin nivel (011)",3,1,2
"Educación inicial (012)",1,,1
"Primaria (013)",74,12,62
"Secundaria (014)",76,23,53
"Superior no univ. incompleta (015)",7,1,6
"Superior no univ. completa (016)",7,,7
"Superior univ. incompleta (017)",5,2,3
"Superior univ. completa (018)",6,1,5
"Mujeres (020)",68,20,48
"Sin nivel (021)",4,,4
"Primaria (023)",29,9,20
"Secundaria (024)",12,4,8
"Superior no univ. incompleta (025)",2,2,
"Superior no univ. completa (026)",14,4,10
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",6,1,5
,,,
"AREA URBANA (030)",193,45,148
"Sin nivel (031)",6,1,5
"Educación inicial (032)",1,,1
"Primaria (033)",69,10,59
"Secundaria (034)",72,23,49
"Superior no univ. incompleta (035)",9,3,6
"Superior no univ. completa (036)",19,4,15
"Superior univ. incompleta (037)",6,2,4
"Superior univ. completa (038)",11,2,9
"Hombres (040)",136,28,108
"Sin nivel (041)",3,1,2
"Educación inicial (042)",1,,1
"Primaria (043)",46,3,43
"Secundaria (044)",61,20,41
"Superior no univ. incompleta (045)",7,1,6
"Superior no univ. completa (046)",7,,7
"Superior univ. incompleta (047)",5,2,3
"Superior univ. completa (048)",6,1,5
"Mujeres (050)",57,17,40
"Sin nivel (051)",3,,3
"Primaria (053)",23,7,16
"Secundaria (054)",11,3,8
"Superior no univ. incompleta (055)",2,2,
"Superior no univ. completa (056)",12,4,8
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",5,1,4
,,,
"AREA RURAL (060)",54,15,39
"Sin nivel (061)",1,,1
"Primaria (063)",34,11,23
"Secundaria (064)",16,4,12
"Superior no univ. completa (066)",2,,2
"Superior univ. completa (068)",1,,1
"Hombres (070)",43,12,31
"Primaria (073)",28,9,19
"Secundaria (074)",15,3,12
"Mujeres (080)",11,3,8
"Sin nivel (081)",1,,1
"Primaria (083)",6,2,4
"Secundaria (084)",1,1,
"Superior no univ. completa (086)",2,,2
"Superior univ. completa (088)",1,,1
