"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SULLANA (000)",251385,35775,36387,15205,164716
"Hombres (001)",124061,15864,17519,8833,82275
"Mujeres (002)",127324,19911,18868,6372,82441
"PEA (003)",99088,5990,14967,6663,71939
"Hombres (004)",72501,4222,9198,4820,54596
"Mujeres (005)",26587,1768,5769,1843,17343
"Ocupada (006)",93468,5600,14663,6490,67179
"Hombres (007)",68338,3941,9000,4710,51018
"Mujeres (008)",25130,1659,5663,1780,16161
"Desocupada (009)",5620,390,304,173,4760
"Hombres (010)",4163,281,198,110,3578
"Mujeres (011)",1457,109,106,63,1182
"No PEA (012)",152297,29785,21420,8542,92777
"Hombres (013)",51560,11642,8321,4013,27679
"Mujeres (014)",100737,18143,13099,4529,65098
,,,,,
"URBANA (018)",226169,30663,34783,14526,146872
"Hombres (019)",110784,13458,16644,8343,72749
"Mujeres (020)",115385,17205,18139,6183,74123
"PEA (021)",90013,5175,14329,6342,64620
"Hombres (022)",64486,3522,8687,4526,48068
"Mujeres (023)",25527,1653,5642,1816,16552
"Ocupada (024)",84924,4837,14033,6175,60326
"Hombres (025)",60786,3286,8496,4421,44897
"Mujeres (026)",24138,1551,5537,1754,15429
"Desocupada (027)",5089,338,296,167,4294
"Hombres (028)",3700,236,191,105,3171
"Mujeres (029)",1389,102,105,62,1123
"No PEA (030)",136156,25488,20454,8184,82252
"Hombres (031)",46298,9936,7957,3817,24681
"Mujeres (032)",89858,15552,12497,4367,57571
,,,,,
"RURAL (036)",25216,5112,1604,679,17844
"Hombres (037)",13277,2406,875,490,9526
"Mujeres (038)",11939,2706,729,189,8318
"PEA (039)",9075,815,638,321,7319
"Hombres (040)",8015,700,511,294,6528
"Mujeres (041)",1060,115,127,27,791
"Ocupada (042)",8544,763,630,315,6853
"Hombres (043)",7552,655,504,289,6121
"Mujeres (044)",992,108,126,26,732
"Desocupada (045)",531,52,8,6,466
"Hombres (046)",463,45,7,5,407
"Mujeres (047)",68,7,1,1,59
"No PEA (048)",16141,4297,966,358,10525
"Hombres (049)",5262,1706,364,196,2998
"Mujeres (050)",10879,2591,602,162,7527
