"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia URUBAMBA",,,,,,,,
"Hogares (001)",13623,11487,7066,3096,461,1817,723,1375
"Ocupantes presentes (002)",53426,47041,29423,13208,1956,7752,3077,3713
"Casa independiente",,,,,,,,
"Hogares (004)",13092,11122,6672,2933,430,1727,682,1315
"Ocupantes presentes (005)",51901,45860,28233,12686,1837,7412,2924,3584
"Departamento en edificio",,,,,,,,
"Hogares (007)",90,62,66,35,12,23,9,14
"Ocupantes presentes (008)",251,189,192,104,40,70,28,35
"Vivienda en quinta",,,,,,,,
"Hogares (010)",68,56,49,22,3,12,9,3
"Ocupantes presentes (011)",236,199,184,94,10,55,44,9
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",327,211,257,100,15,53,23,34
"Ocupantes presentes (014)",910,682,735,302,62,205,81,71
"Choza o cabaña",,,,,,,,
"Hogares (016)",14,11,6,1,,,,3
"Ocupantes presentes (017)",43,38,22,3,,,,5
"Vivienda improvisada",,,,,,,,
"Hogares (019)",8,6,5,3,1,1,,2
"Ocupantes presentes (020)",23,21,20,12,7,7,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",8,8,4,1,,1,,
"Ocupantes presentes (023)",20,20,13,3,,3,,
"Otro tipo",,,,,,,,
"Hogares (025)",16,11,7,1,,,,4
"Ocupantes presentes (026)",42,32,24,4,,,,7
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",6517,5378,4455,2250,417,1508,655,555
"Ocupantes presentes (029)",24553,21127,17625,9363,1760,6394,2766,1461
"Casa independiente",,,,,,,,
"Hogares (031)",6006,5027,4067,2088,386,1418,614,501
"Ocupantes presentes (032)",23084,19991,16457,8844,1641,6054,2613,1343
"Departamento en edificio",,,,,,,,
"Hogares (034)",90,62,66,35,12,23,9,14
"Ocupantes presentes (035)",251,189,192,104,40,70,28,35
"Vivienda en quinta",,,,,,,,
"Hogares (037)",68,56,49,22,3,12,9,3
"Ocupantes presentes (038)",236,199,184,94,10,55,44,9
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",327,211,257,100,15,53,23,34
"Ocupantes presentes (041)",910,682,735,302,62,205,81,71
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",8,6,5,3,1,1,,2
"Ocupantes presentes (047)",23,21,20,12,7,7,,2
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",7,7,4,1,,1,,
"Ocupantes presentes (050)",19,19,13,3,,3,,
"Otro tipo",,,,,,,,
"Hogares (052)",11,9,7,1,,,,1
"Ocupantes presentes (053)",30,26,24,4,,,,1
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",7106,6109,2611,846,44,309,68,820
"Ocupantes presentes (056)",28873,25914,11798,3845,196,1358,311,2252
"Casa independiente",,,,,,,,
"Hogares (058)",7086,6095,2605,845,44,309,68,814
"Ocupantes presentes (059)",28817,25869,11776,3842,196,1358,311,2241
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",14,11,6,1,,,,3
"Ocupantes presentes (071)",43,38,22,3,,,,5
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
"Hogares (079)",5,2,,,,,,3
"Ocupantes presentes (080)",12,6,,,,,,6
