"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YAUYOS (000)",26095,2472,660,9542,8862,1213,1444,524,1378
"Quechua (001)",815,184,3,338,208,16,30,9,27
"Aymara (002)",6,1,,4,1,,,,
"Ashaninca (003)",2,1,,1,,,,,
"Otra lengua nativa (004)",842,106,20,396,227,26,27,8,32
"Castellano (005)",24343,2160,636,8776,8398,1166,1383,507,1317
"Es sordomudo/a (007)",87,20,1,27,28,5,4,,2
"Hombres (009)",14273,883,336,4519,5488,822,942,370,913
"Quechua (010)",425,23,3,182,158,13,21,8,17
"Aymara (011)",2,,,1,1,,,,
"Ashaninca (012)",2,1,,1,,,,,
"Otra lengua nativa (013)",451,32,10,195,148,19,20,6,21
"Castellano (014)",13331,815,322,4118,5163,786,897,356,874
"Es sordomudo/a (016)",62,12,1,22,18,4,4,,1
"Mujeres (018)",11822,1589,324,5023,3374,391,502,154,465
"Quechua (019)",390,161,,156,50,3,9,1,10
"Aymara (020)",4,1,,3,,,,,
"Otra lengua nativa (022)",391,74,10,201,79,7,7,2,11
"Castellano (023)",11012,1345,314,4658,3235,380,486,151,443
"Es sordomudo/a (025)",25,8,,5,10,1,,,1
,,,,,,,,,
"URBANA (027)",14952,1241,425,5449,5069,675,877,309,907
"Quechua (028)",245,43,,85,68,6,17,4,22
"Aymara (029)",4,1,,3,,,,,
"Ashaninca (030)",1,1,,,,,,,
"Otra lengua nativa (031)",415,53,11,185,103,14,18,7,24
"Castellano (032)",14250,1135,413,5174,4878,653,839,298,860
"Es sordomudo/a (034)",37,8,1,2,20,2,3,,1
"Hombres (036)",7595,473,215,2461,2820,387,488,196,555
"Quechua (037)",111,2,,26,47,5,14,4,13
"Ashaninca (039)",1,1,,,,,,,
"Otra lengua nativa (040)",200,15,5,76,61,10,13,5,15
"Castellano (041)",7262,450,209,2358,2702,371,458,187,527
"Es sordomudo/a (043)",21,5,1,1,10,1,3,,
"Mujeres (045)",7357,768,210,2988,2249,288,389,113,352
"Quechua (046)",134,41,,59,21,1,3,,9
"Aymara (047)",4,1,,3,,,,,
"Otra lengua nativa (049)",215,38,6,109,42,4,5,2,9
"Castellano (050)",6988,685,204,2816,2176,282,381,111,333
"Es sordomudo/a (052)",16,3,,1,10,1,,,1
,,,,,,,,,
"RURAL (054)",11143,1231,235,4093,3793,538,567,215,471
"Quechua (055)",570,141,3,253,140,10,13,5,5
"Aymara (056)",2,,,1,1,,,,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",427,53,9,211,124,12,9,1,8
"Castellano (059)",10093,1025,223,3602,3520,513,544,209,457
"Es sordomudo/a (061)",50,12,,25,8,3,1,,1
"Hombres (063)",6678,410,121,2058,2668,435,454,174,358
"Quechua (064)",314,21,3,156,111,8,7,4,4
"Aymara (065)",2,,,1,1,,,,
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",251,17,5,119,87,9,7,1,6
"Castellano (068)",6069,365,113,1760,2461,415,439,169,347
"Es sordomudo/a (070)",41,7,,21,8,3,1,,1
"Mujeres (072)",4465,821,114,2035,1125,103,113,41,113
"Quechua (073)",256,120,,97,29,2,6,1,1
"Otra lengua nativa (076)",176,36,4,92,37,3,2,,2
"Castellano (077)",4024,660,110,1842,1059,98,105,40,110
"Es sordomudo/a (079)",9,5,,4,,,,,
