"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",12955,2311,97,4886,3671,470,742,236,542
"Empleado (001)",1808,17,3,97,418,182,537,131,423
"Obrero (002)",3341,617,25,1343,1160,112,49,18,17
"Trabajador independiente (003)",3945,589,18,1549,1393,135,119,66,76
"Empleador o patrono (004)",248,16,2,63,117,12,13,14,11
"Trabajador familiar no remunerado (005)",3402,1052,46,1756,485,22,20,7,14
"Trabajador del hogar (006)",211,20,3,78,98,7,4,,1
"Hombres (008)",8875,1354,47,3345,2787,318,486,173,365
"Empleado (009)",1134,7,2,42,275,107,335,94,272
"Obrero (010)",2629,391,13,1025,1025,97,46,17,15
"Trabajador independiente (011)",2925,415,11,1168,1050,95,82,44,60
"Empleador o patrono (012)",202,9,2,52,99,9,10,14,7
"Trabajador familiar no remunerado (013)",1954,531,19,1043,323,10,13,4,11
"Trabajador del hogar (014)",31,1,,15,15,,,,
"Mujeres (016)",4080,957,50,1541,884,152,256,63,177
"Empleado (017)",674,10,1,55,143,75,202,37,151
"Obrero (018)",712,226,12,318,135,15,3,1,2
"Trabajador independiente (019)",1020,174,7,381,343,40,37,22,16
"Empleador o patrono (020)",46,7,,11,18,3,3,,4
"Trabajador familiar no remunerado (021)",1448,521,27,713,162,12,7,3,3
"Trabajador del hogar (022)",180,19,3,63,83,7,4,,1
,,,,,,,,,
"URBANA (024)",5393,173,15,1189,2407,381,586,197,445
"Empleado (025)",1502,10,2,89,384,141,415,104,357
"Obrero (026)",1326,52,3,386,724,95,38,14,14
"Trabajador independiente (027)",1880,60,1,511,968,113,107,60,60
"Empleador o patrono (028)",176,2,1,35,90,11,12,14,11
"Trabajador familiar no remunerado (029)",339,36,5,116,151,14,10,5,2
"Trabajador del hogar (030)",170,13,3,52,90,7,4,,1
"Hombres (032)",3603,79,8,731,1736,249,367,142,291
"Empleado (033)",924,6,1,40,250,79,249,75,224
"Obrero (034)",1111,30,3,290,645,82,35,13,13
"Trabajador independiente (035)",1259,27,,317,685,76,70,38,46
"Empleador o patrono (036)",140,1,1,25,75,8,9,14,7
"Trabajador familiar no remunerado (037)",155,15,3,54,72,4,4,2,1
"Trabajador del hogar (038)",14,,,5,9,,,,
"Mujeres (040)",1790,94,7,458,671,132,219,55,154
"Empleado (041)",578,4,1,49,134,62,166,29,133
"Obrero (042)",215,22,,96,79,13,3,1,1
"Trabajador independiente (043)",621,33,1,194,283,37,37,22,14
"Empleador o patrono (044)",36,1,,10,15,3,3,,4
"Trabajador familiar no remunerado (045)",184,21,2,62,79,10,6,3,1
"Trabajador del hogar (046)",156,13,3,47,81,7,4,,1
,,,,,,,,,
"RURAL (048)",7562,2138,82,3697,1264,89,156,39,97
"Empleado (049)",306,7,1,8,34,41,122,27,66
"Obrero (050)",2015,565,22,957,436,17,11,4,3
"Trabajador independiente (051)",2065,529,17,1038,425,22,12,6,16
"Empleador o patrono (052)",72,14,1,28,27,1,1,,
"Trabajador familiar no remunerado (053)",3063,1016,41,1640,334,8,10,2,12
"Trabajador del hogar (054)",41,7,,26,8,,,,
"Hombres (056)",5272,1275,39,2614,1051,69,119,31,74
"Empleado (057)",210,1,1,2,25,28,86,19,48
"Obrero (058)",1518,361,10,735,380,15,11,4,2
"Trabajador independiente (059)",1666,388,11,851,365,19,12,6,14
"Empleador o patrono (060)",62,8,1,27,24,1,1,,
"Trabajador familiar no remunerado (061)",1799,516,16,989,251,6,9,2,10
"Trabajador del hogar (062)",17,1,,10,6,,,,
"Mujeres (064)",2290,863,43,1083,213,20,37,8,23
"Empleado (065)",96,6,,6,9,13,36,8,18
"Obrero (066)",497,204,12,222,56,2,,,1
"Trabajador independiente (067)",399,141,6,187,60,3,,,2
"Empleador o patrono (068)",10,6,,1,3,,,,
"Trabajador familiar no remunerado (069)",1264,500,25,651,83,2,1,,2
"Trabajador del hogar (070)",24,6,,16,2,,,,
