"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANAS (000)",9629,79,2515,3376,2763,896
"Empleado (001)",815,2,236,381,189,7
"Obrero (002)",865,3,259,352,220,31
"Trabajador independiente (003)",4932,13,970,1713,1594,642
"Empleador o patrono (004)",135,,27,46,48,14
"Trabajador familiar no remunerado (005)",2324,50,726,729,629,190
"Trabajador del hogar (006)",57,6,35,9,6,1
"Desocupado (008)",501,5,262,146,77,11
"Hombres (009)",6251,51,1589,2250,1781,580
"Empleado (010)",574,1,140,284,145,4
"Obrero (011)",785,2,229,330,198,26
"Trabajador independiente (012)",3549,10,652,1248,1173,466
"Empleador o patrono (013)",90,,19,29,32,10
"Trabajador familiar no remunerado (014)",819,32,335,225,164,63
"Trabajador del hogar (015)",16,4,7,4,1,
"Desocupado (017)",418,2,207,130,68,11
"Mujeres (018)",3378,28,926,1126,982,316
"Empleado (019)",241,1,96,97,44,3
"Obrero (020)",80,1,30,22,22,5
"Trabajador independiente (021)",1383,3,318,465,421,176
"Empleador o patrono (022)",45,,8,17,16,4
"Trabajador familiar no remunerado (023)",1505,18,391,504,465,127
"Trabajador del hogar (024)",41,2,28,5,5,1
"Desocupado (026)",83,3,55,16,9,
,,,,,,
"URBANA (027)",1895,34,544,768,439,110
"Empleado (028)",483,2,121,243,112,5
"Obrero (029)",225,2,69,85,55,14
"Trabajador independiente (030)",813,7,208,318,211,69
"Empleador o patrono (031)",32,,7,12,9,4
"Trabajador familiar no remunerado (032)",214,19,76,68,36,15
"Trabajador del hogar (033)",30,4,17,5,3,1
"Desocupado (035)",98,,46,37,13,2
"Hombres (036)",1170,23,327,481,278,61
"Empleado (037)",311,1,66,163,79,2
"Obrero (038)",196,1,57,79,49,10
"Trabajador independiente (039)",482,6,125,183,127,41
"Empleador o patrono (040)",20,,5,7,6,2
"Trabajador familiar no remunerado (041)",80,12,37,19,8,4
"Trabajador del hogar (042)",9,3,3,2,1,
"Desocupado (044)",72,,34,28,8,2
"Mujeres (045)",725,11,217,287,161,49
"Empleado (046)",172,1,55,80,33,3
"Obrero (047)",29,1,12,6,6,4
"Trabajador independiente (048)",331,1,83,135,84,28
"Empleador o patrono (049)",12,,2,5,3,2
"Trabajador familiar no remunerado (050)",134,7,39,49,28,11
"Trabajador del hogar (051)",21,1,14,3,2,1
"Desocupado (053)",26,,12,9,5,
,,,,,,
"RURAL (054)",7734,45,1971,2608,2324,786
"Empleado (055)",332,,115,138,77,2
"Obrero (056)",640,1,190,267,165,17
"Trabajador independiente (057)",4119,6,762,1395,1383,573
"Empleador o patrono (058)",103,,20,34,39,10
"Trabajador familiar no remunerado (059)",2110,31,650,661,593,175
"Trabajador del hogar (060)",27,2,18,4,3,
"Desocupado (062)",403,5,216,109,64,9
"Hombres (063)",5081,28,1262,1769,1503,519
"Empleado (064)",263,,74,121,66,2
"Obrero (065)",589,1,172,251,149,16
"Trabajador independiente (066)",3067,4,527,1065,1046,425
"Empleador o patrono (067)",70,,14,22,26,8
"Trabajador familiar no remunerado (068)",739,20,298,206,156,59
"Trabajador del hogar (069)",7,1,4,2,,
"Desocupado (071)",346,2,173,102,60,9
"Mujeres (072)",2653,17,709,839,821,267
"Empleado (073)",69,,41,17,11,
"Obrero (074)",51,,18,16,16,1
"Trabajador independiente (075)",1052,2,235,330,337,148
"Empleador o patrono (076)",33,,6,12,13,2
"Trabajador familiar no remunerado (077)",1371,11,352,455,437,116
"Trabajador del hogar (078)",20,1,14,2,3,
"Desocupado (080)",57,3,43,7,4,
