"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia MARISCAL NIETO (000)",22953,17819,5134
"Red pública dentro de la vivienda (001)",13370,12475,895
"Red pública fuera de la vivienda (002)",2705,2202,503
"Pilón de uso público (003)",2242,1470,772
"Camión - cisterna u otro similar (004)",269,93,176
"Pozo (005)",207,30,177
"Río, acequia, manatial o similar (006)",3282,1237,2045
"Vecino (007)",595,240,355
"Otro (008)",283,72,211
,,,
"URBANA (010)",19547,16533,3014
"Red pública dentro de la vivienda (011)",12854,12067,787
"Red pública fuera de la vivienda (012)",2521,2065,456
"Pilón de uso público (013)",2066,1389,677
"Camión - cisterna u otro similar (014)",117,55,62
"Pozo (015)",36,14,22
"Río, acequia, manatial o similar (016)",1186,659,527
"Vecino (017)",535,219,316
"Otro (018)",232,65,167
,,,
"RURAL (020)",3406,1286,2120
"Red pública dentro de la vivienda (021)",516,408,108
"Red pública fuera de la vivienda (022)",184,137,47
"Pilón de uso público (023)",176,81,95
"Camión - cisterna u otro similar (024)",152,38,114
"Pozo (025)",171,16,155
"Río, acequia, manatial o similar (026)",2096,578,1518
"Vecino (027)",60,21,39
"Otro (028)",51,7,44
