"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia JULCAN (000)",7779,481,463,5343,43,1385,64
"Sin nivel (001)",1063,14,68,767,2,193,19
"Educación inicial (002)",14,,,6,,8,
"Primaria (003)",4571,42,269,3422,27,780,31
"Secundaria (004)",1526,121,102,904,10,379,10
"Superior no univ. incompleta (005)",151,71,12,60,1,7,
"Superior no univ. completa (006)",161,97,4,49,,9,2
"Superior univ. incompleta (007)",54,16,4,28,,5,1
"Superior univ. completa (008)",239,120,4,107,3,4,1
"Hombres (010)",6907,215,412,5073,42,1160,5
"Sin nivel (011)",861,2,52,704,2,101,
"Educación inicial (012)",9,,,6,,3,
"Primaria (013)",4279,15,241,3297,26,697,3
"Secundaria (014)",1367,56,96,862,10,342,1
"Superior no univ. incompleta (015)",83,17,12,48,1,5,
"Superior no univ. completa (016)",102,53,4,39,,6,
"Superior univ. incompleta (017)",43,10,4,25,,4,
"Superior univ. completa (018)",163,62,3,92,3,2,1
"Mujeres (020)",872,266,51,270,1,225,59
"Sin nivel (021)",202,12,16,63,,92,19
"Educación inicial (022)",5,,,,,5,
"Primaria (023)",292,27,28,125,1,83,28
"Secundaria (024)",159,65,6,42,,37,9
"Superior no univ. incompleta (025)",68,54,,12,,2,
"Superior no univ. completa (026)",59,44,,10,,3,2
"Superior univ. incompleta (027)",11,6,,3,,1,1
"Superior univ. completa (028)",76,58,1,15,,2,
,,,,,,,
"URBANA (030)",1142,240,173,610,26,67,26
"Sin nivel (031)",117,8,35,56,2,6,10
"Primaria (033)",446,17,75,308,13,23,10
"Secundaria (034)",269,49,47,134,8,29,2
"Superior no univ. incompleta (035)",50,12,8,29,,1,
"Superior no univ. completa (036)",92,60,3,22,,5,2
"Superior univ. incompleta (037)",23,11,2,7,,2,1
"Superior univ. completa (038)",145,83,3,54,3,1,1
"Hombres (040)",831,130,149,479,25,47,1
"Sin nivel (041)",57,1,24,28,2,2,
"Primaria (043)",351,7,66,251,12,15,
"Secundaria (044)",231,36,44,117,8,26,
"Superior no univ. incompleta (045)",37,6,8,22,,1,
"Superior no univ. completa (046)",48,30,3,13,,2,
"Superior univ. incompleta (047)",13,5,2,5,,1,
"Superior univ. completa (048)",94,45,2,43,3,,1
"Mujeres (050)",311,110,24,131,1,20,25
"Sin nivel (051)",60,7,11,28,,4,10
"Primaria (053)",95,10,9,57,1,8,10
"Secundaria (054)",38,13,3,17,,3,2
"Superior no univ. incompleta (055)",13,6,,7,,,
"Superior no univ. completa (056)",44,30,,9,,3,2
"Superior univ. incompleta (057)",10,6,,2,,1,1
"Superior univ. completa (058)",51,38,1,11,,1,
,,,,,,,
"RURAL (060)",6637,241,290,4733,17,1318,38
"Sin nivel (061)",946,6,33,711,,187,9
"Educación inicial (062)",14,,,6,,8,
"Primaria (063)",4125,25,194,3114,14,757,21
"Secundaria (064)",1257,72,55,770,2,350,8
"Superior no univ. incompleta (065)",101,59,4,31,1,6,
"Superior no univ. completa (066)",69,37,1,27,,4,
"Superior univ. incompleta (067)",31,5,2,21,,3,
"Superior univ. completa (068)",94,37,1,53,,3,
"Hombres (070)",6076,85,263,4594,17,1113,4
"Sin nivel (071)",804,1,28,676,,99,
"Educación inicial (072)",9,,,6,,3,
"Primaria (073)",3928,8,175,3046,14,682,3
"Secundaria (074)",1136,20,52,745,2,316,1
"Superior no univ. incompleta (075)",46,11,4,26,1,4,
"Superior no univ. completa (076)",54,23,1,26,,4,
"Superior univ. incompleta (077)",30,5,2,20,,3,
"Superior univ. completa (078)",69,17,1,49,,2,
"Mujeres (080)",561,156,27,139,,205,34
"Sin nivel (081)",142,5,5,35,,88,9
"Educación inicial (082)",5,,,,,5,
"Primaria (083)",197,17,19,68,,75,18
"Secundaria (084)",121,52,3,25,,34,7
"Superior no univ. incompleta (085)",55,48,,5,,2,
"Superior no univ. completa (086)",15,14,,1,,,
"Superior univ. incompleta (087)",1,,,1,,,
"Superior univ. completa (088)",25,20,,4,,1,
