"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CAJABAMBA (000)",19058,124,474,1114,2089,3586,7574,4097
"De 12 a 14 años (001)",30,,,,,,1,29
"De 15 a 19 años (002)",656,,,,,,423,233
"De 20 a 24 años (003)",2070,,,,,1,1386,683
"De 25 a 29 años (004)",2303,,,,,91,1640,572
"De 30 a 34 años (005)",2146,,,,,292,1472,382
"De 35 a 39 años (006)",2185,,,,15,547,1291,332
"De 40 a 44 años (007)",1889,,,1,75,698,851,264
"De 45 a 49 años (008)",1610,,,5,205,754,413,233
"De 50 y más años (009)",6169,124,474,1108,1794,1203,97,1369
"PEA (010)",3271,6,23,119,340,746,1163,874
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",65,,,,,,39,26
"De 20 a 24 años (013)",332,,,,,,188,144
"De 25 a 29 años (014)",410,,,,,22,238,150
"De 30 a 34 años (015)",442,,,,,73,239,130
"De 35 a 39 años (016)",487,,,,3,140,232,112
"De 40 a 44 años (017)",430,,,,27,178,154,71
"De 45 a 49 años (018)",359,,,2,62,164,60,71
"De 50 y más años (019)",743,6,23,117,248,169,13,167
"Ocupada (020)",3188,6,23,116,338,735,1135,835
"De 12 a 14 años (021)",2,,,,,,,2
"De 15 a 19 años (022)",62,,,,,,38,24
"De 20 a 24 años (023)",306,,,,,,177,129
"De 25 a 29 años (024)",395,,,,,22,233,140
"De 30 a 34 años (025)",431,,,,,72,233,126
"De 35 a 39 años (026)",479,,,,3,137,230,109
"De 40 a 44 años (027)",423,,,,27,174,152,70
"De 45 a 49 años (028)",353,,,2,61,162,60,68
"De 50 y más años (029)",737,6,23,114,247,168,12,167
"Desocupada (030)",83,,,3,2,11,28,39
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",3,,,,,,1,2
"De 20 a 24 años (033)",26,,,,,,11,15
"De 25 a 29 años (034)",15,,,,,,5,10
"De 30 a 34 años (035)",11,,,,,1,6,4
"De 35 a 39 años (036)",8,,,,,3,2,3
"De 40 a 44 años (037)",7,,,,,4,2,1
"De 45 a 49 años (038)",6,,,,1,2,,3
"De 50 y más años (039)",6,,,3,1,1,1,
"No PEA (040)",15787,118,451,995,1749,2840,6411,3223
"De 12 a 14 años (041)",27,,,,,,1,26
"De 15 a 19 años (042)",591,,,,,,384,207
"De 20 a 24 años (043)",1738,,,,,1,1198,539
"De 25 a 29 años (044)",1893,,,,,69,1402,422
"De 30 a 34 años (045)",1704,,,,,219,1233,252
"De 35 a 39 años (046)",1698,,,,12,407,1059,220
"De 40 a 44 años (047)",1459,,,1,48,520,697,193
