"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia NAZCA (000)",54527,5267,13028,2636,33808
"Sin Nivel (001)",3825,645,741,109,2340
"Educación Inicial (002)",1379,313,374,60,638
"Primaria (003)",14060,2110,2935,516,8537
"Secundaria (004)",21894,1822,4344,861,14915
"Sup. no Univ. Incompleta (005)",3315,115,759,162,2292
"Sup. no Univ. Completa (006)",4835,128,1891,400,2462
"Sup. Univ. Incompleta (007)",1932,64,476,156,1247
"Sup. Univ. Completa (008)",3287,70,1508,372,1377
"Hombres (010)",27941,2542,6960,1599,16976
"Sin Nivel (011)",1515,309,334,49,826
"Educación Inicial (012)",692,144,191,33,326
"Primaria (013)",6992,1098,1451,285,4178
"Secundaria (014)",11853,846,2465,532,8046
"Sup. no Univ. Incompleta (015)",1680,41,437,106,1108
"Sup. no Univ. Completa (016)",2311,40,988,258,1054
"Sup. Univ. Incompleta (017)",1150,34,295,113,717
"Sup. Univ. Completa (018)",1748,30,799,223,721
"Mujeres (020)",26586,2725,6068,1037,16832
"Sin Nivel (021)",2310,336,407,60,1514
"Educación Inicial (022)",687,169,183,27,312
"Primaria (023)",7068,1012,1484,231,4359
"Secundaria (024)",10041,976,1879,329,6869
"Sup. no Univ. Incompleta (025)",1635,74,322,56,1184
"Sup. no Univ. Completa (026)",2524,88,903,142,1408
"Sup. Univ. Incompleta (027)",782,30,181,43,530
"Sup. Univ. Completa (028)",1539,40,709,149,656
,,,,,
"URBANA (030)",47861,4105,12354,2457,29149
"Sin Nivel (031)",3048,487,624,100,1847
"Educación Inicial (032)",1255,238,367,59,597
"Primaria (033)",11762,1606,2668,456,7068
"Secundaria (034)",19153,1429,4166,788,12817
"Sup. no Univ. Incompleta (035)",3064,103,743,159,2072
"Sup. no Univ. Completa (036)",4547,112,1835,383,2259
"Sup. Univ. Incompleta (037)",1851,62,465,150,1184
"Sup. Univ. Completa (038)",3181,68,1486,362,1305
"Hombres (040)",24296,1939,6571,1480,14436
"Sin Nivel (041)",1246,233,292,45,679
"Educación Inicial (042)",636,114,186,33,305
"Primaria (043)",5704,812,1285,245,3381
"Secundaria (044)",10244,647,2351,482,6799
"Sup. no Univ. Incompleta (045)",1544,37,430,105,984
"Sup. no Univ. Completa (046)",2146,33,953,247,939
"Sup. Univ. Incompleta (047)",1097,34,287,107,677
"Sup. Univ. Completa (048)",1679,29,787,216,672
"Mujeres (050)",23565,2166,5783,977,14713
"Sin Nivel (051)",1802,254,332,55,1168
"Educación Inicial (052)",619,124,181,26,292
"Primaria (053)",6058,794,1383,211,3687
"Secundaria (054)",8909,782,1815,306,6018
"Sup. no Univ. Incompleta (055)",1520,66,313,54,1088
"Sup. no Univ. Completa (056)",2401,79,882,136,1320
"Sup. Univ. Incompleta (057)",754,28,178,43,507
"Sup. Univ. Completa (058)",1502,39,699,146,633
,,,,,
"RURAL (060)",6666,1162,674,179,4659
"Sin Nivel (061)",777,158,117,9,493
"Educación Inicial (062)",124,75,7,1,41
"Primaria (063)",2298,504,267,60,1469
"Secundaria (064)",2741,393,178,73,2098
"Sup. no Univ. Incompleta (065)",251,12,16,3,220
"Sup. no Univ. Completa (066)",288,16,56,17,203
"Sup. Univ. Incompleta (067)",81,2,11,6,63
"Sup. Univ. Completa (068)",106,2,22,10,72
"Hombres (070)",3645,603,389,119,2540
"Sin Nivel (071)",269,76,42,4,147
"Educación Inicial (072)",56,30,5,,21
"Primaria (073)",1288,286,166,40,797
"Secundaria (074)",1609,199,114,50,1247
"Sup. no Univ. Incompleta (075)",136,4,7,1,124
"Sup. no Univ. Completa (076)",165,7,35,11,115
"Sup. Univ. Incompleta (077)",53,,8,6,40
"Sup. Univ. Completa (078)",69,1,12,7,49
"Mujeres (080)",3021,559,285,60,2119
"Sin Nivel (081)",508,82,75,5,346
"Educación Inicial (082)",68,45,2,1,20
"Primaria (083)",1010,218,101,20,672
"Secundaria (084)",1132,194,64,23,851
"Sup. no Univ. Incompleta (085)",115,8,9,2,96
"Sup. no Univ. Completa (086)",123,9,21,6,88
"Sup. Univ. Incompleta (087)",28,2,3,,23
"Sup. Univ. Completa (088)",37,1,10,3,23
