"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",32083,344,12528,11029,3223,1080,451,184,29,,3215
"Catolica (001)",24189,257,9309,8335,2448,815,364,138,16,,2507
"Cristiana / Evangelica (002)",6823,75,2777,2350,675,227,81,38,11,,589
"Otra (003)",756,7,315,250,71,30,3,5,,,75
"Ninguna (004)",315,5,127,94,29,8,3,3,2,,44
,,,,,,,,,,,
"URBANA (006)",9461,96,3325,3108,1078,405,163,75,11,,1200
"Catolica (007)",7054,80,2434,2285,834,312,128,57,6,,918
"Cristiana / Evangelica (008)",1997,14,753,696,198,72,32,12,5,,215
"Otra (009)",278,1,85,95,29,19,2,4,,,43
"Ninguna (010)",132,1,53,32,17,2,1,2,,,24
,,,,,,,,,,,
"RURAL (012)",22622,248,9203,7921,2145,675,288,109,18,,2015
"Catolica (013)",17135,177,6875,6050,1614,503,236,81,10,,1589
"Cristiana / Evangelica (014)",4826,61,2024,1654,477,155,49,26,6,,374
"Otra (015)",478,6,230,155,42,11,1,1,,,32
"Ninguna (016)",183,4,74,62,12,6,2,1,2,,20
