"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia POMABAMBA (000)",7087,30,182,425,745,1296,2772,1637
"De 12 a 14 años (001)",5,,,,,,,5
"De 15 a 19 años (002)",151,,,,,,94,57
"De 20 a 24 años (003)",714,,,,,1,436,277
"De 25 a 29 años (004)",823,,,,,28,582,213
"De 30 a 34 años (005)",759,,,,,94,527,138
"De 35 a 39 años (006)",801,,,,5,184,507,105
"De 40 a 44 años (007)",746,,,,15,244,391,96
"De 45 a 49 años (008)",602,,,,49,292,185,76
"De 50 y más años (009)",2486,30,182,425,676,453,50,670
"PEA (010)",1105,2,14,29,78,275,409,298
"De 15 a 19 años (012)",18,,,,,,9,9
"De 20 a 24 años (013)",96,,,,,,47,49
"De 25 a 29 años (014)",155,,,,,7,97,51
"De 30 a 34 años (015)",146,,,,,32,74,40
"De 35 a 39 años (016)",176,,,,3,51,92,30
"De 40 a 44 años (017)",163,,,,5,66,64,28
"De 45 a 49 años (018)",118,,,,11,64,23,20
"De 50 y más años (019)",233,2,14,29,59,55,3,71
"Ocupada (020)",1058,2,14,29,76,266,393,278
"De 15 a 19 años (022)",16,,,,,,8,8
"De 20 a 24 años (023)",86,,,,,,42,44
"De 25 a 29 años (024)",145,,,,,6,91,48
"De 30 a 34 años (025)",138,,,,,30,72,36
"De 35 a 39 años (026)",171,,,,3,49,91,28
"De 40 a 44 años (027)",161,,,,5,66,63,27
"De 45 a 49 años (028)",114,,,,11,62,23,18
"De 50 y más años (029)",227,2,14,29,57,53,3,69
"Desocupada (030)",47,,,,2,9,16,20
"De 15 a 19 años (032)",2,,,,,,1,1
"De 20 a 24 años (033)",10,,,,,,5,5
"De 25 a 29 años (034)",10,,,,,1,6,3
"De 30 a 34 años (035)",8,,,,,2,2,4
"De 35 a 39 años (036)",5,,,,,2,1,2
"De 40 a 44 años (037)",2,,,,,,1,1
"De 45 a 49 años (038)",4,,,,,2,,2
"De 50 y más años (039)",6,,,,2,2,,2
"No PEA (040)",5982,28,168,396,667,1021,2363,1339
"De 12 a 14 años (041)",5,,,,,,,5
"De 15 a 19 años (042)",133,,,,,,85,48
"De 20 a 24 años (043)",618,,,,,1,389,228
"De 25 a 29 años (044)",668,,,,,21,485,162
"De 30 a 34 años (045)",613,,,,,62,453,98
"De 35 a 39 años (046)",625,,,,2,133,415,75
"De 40 a 44 años (047)",583,,,,10,178,327,68
"De 45 a 49 años (048)",484,,,,38,228,162,56
"De 50 y más años (049)",2253,28,168,396,617,398,47,599
,,,,,,,,
"URBANA (060)",1684,11,54,87,169,330,576,457
