"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAITA (000)",2745,45,1327,832,458,83
"Sin nivel (001)",117,,16,33,51,17
"Educación inicial (002)",3,,2,1,,
"Primaria (003)",874,32,280,286,222,54
"Secundaria (004)",1104,13,661,318,106,6
"Superior no univ. incompleta (005)",209,,131,60,17,1
"Superior no univ. completa (006)",243,,122,83,35,3
"Superior univ. incompleta (007)",70,,47,15,8,
"Superior univ. completa (008)",125,,68,36,19,2
"Hombres (010)",2220,33,1001,694,411,81
"Sin nivel (011)",98,,11,27,43,17
"Educación inicial (012)",3,,2,1,,
"Primaria (013)",725,22,209,241,201,52
"Secundaria (014)",929,11,539,275,98,6
"Superior no univ. incompleta (015)",161,,97,47,16,1
"Superior no univ. completa (016)",168,,75,61,29,3
"Superior univ. incompleta (017)",45,,25,12,8,
"Superior univ. completa (018)",91,,43,30,16,2
"Mujeres (020)",525,12,326,138,47,2
"Sin nivel (021)",19,,5,6,8,
"Primaria (023)",149,10,71,45,21,2
"Secundaria (024)",175,2,122,43,8,
"Superior no univ. incompleta (025)",48,,34,13,1,
"Superior no univ. completa (026)",75,,47,22,6,
"Superior univ. incompleta (027)",25,,22,3,,
"Superior univ. completa (028)",34,,25,6,3,
,,,,,,
"Area Urbana (030)",2584,38,1250,785,430,81
"Sin nivel (031)",104,,15,32,41,16
"Educación inicial (032)",3,,2,1,,
"Primaria (033)",803,25,249,266,210,53
"Secundaria (034)",1057,13,633,303,102,6
"Superior no univ. incompleta (035)",196,,124,54,17,1
"Superior no univ. completa (036)",233,,114,81,35,3
"Superior univ. incompleta (037)",69,,47,14,8,
"Superior univ. completa (038)",119,,66,34,17,2
"Hombres (040)",2069,28,932,647,383,79
"Sin nivel (041)",85,,10,26,33,16
"Educación inicial (042)",3,,2,1,,
"Primaria (043)",660,17,182,221,189,51
"Secundaria (044)",882,11,511,260,94,6
"Superior no univ. incompleta (045)",148,,90,41,16,1
"Superior no univ. completa (046)",162,,71,59,29,3
"Superior univ. incompleta (047)",44,,25,11,8,
"Superior univ. completa (048)",85,,41,28,14,2
"Mujeres (050)",515,10,318,138,47,2
"Sin nivel (051)",19,,5,6,8,
"Primaria (053)",143,8,67,45,21,2
"Secundaria (054)",175,2,122,43,8,
"Superior no univ. incompleta (055)",48,,34,13,1,
"Superior no univ. completa (056)",71,,43,22,6,
"Superior univ. incompleta (057)",25,,22,3,,
"Superior univ. completa (058)",34,,25,6,3,
,,,,,,
"Area Rural (060)",161,7,77,47,28,2
"Sin nivel (061)",13,,1,1,10,1
"Primaria (063)",71,7,31,20,12,1
"Secundaria (064)",47,,28,15,4,
"Superior no univ. incompleta (065)",13,,7,6,,
"Superior no univ. completa (066)",10,,8,2,,
"Superior univ. incompleta (067)",1,,,1,,
"Superior univ. completa (068)",6,,2,2,2,
"Hombres (070)",151,5,69,47,28,2
"Sin nivel (071)",13,,1,1,10,1
"Primaria (073)",65,5,27,20,12,1
"Secundaria (074)",47,,28,15,4,
"Superior no univ. incompleta (075)",13,,7,6,,
"Superior no univ. completa (076)",6,,4,2,,
"Superior univ. incompleta (077)",1,,,1,,
"Superior univ. completa (078)",6,,2,2,2,
"Mujeres (080)",10,2,8,,,
"Primaria (083)",6,2,4,,,
"Superior no univ. completa (086)",4,,4,,,
