"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MANU (000)",18562,466,5493,6284,4242,1768,309
"Jefe o Jefa (001)",4879,,32,1458,2168,1045,176
"Esposa(o) / compañera(o) (002)",2476,,5,1031,1040,359,41
"Hijo(a) / hijastro(a) (003)",6130,384,4588,1089,66,3,
"Yerno / nuera (004)",116,,,96,19,1,
"Nieto(a) (005)",230,32,181,17,,,
"Padres / suegros (006)",105,,,1,8,53,43
"Otro(a) pariente (007)",1538,32,490,671,246,73,26
"Trabajador(a) del hogar (008)",173,,1,137,27,8,
"Pensionistas (009)",35,,6,17,7,2,3
"Otro(a) no pariente (010)",2880,18,190,1767,661,224,20
"Hombres (011)",10396,224,2807,3437,2550,1184,194
"Jefe o Jefa (012)",3459,,14,870,1601,840,134
"Esposa(o) / compañera(o) (013)",321,,2,121,138,55,5
"Hijo(a) / hijastro(a) (014)",3229,185,2340,659,43,2,
"Yerno / nuera (015)",54,,,40,14,,
"Nieto(a) (016)",129,18,103,8,,,
"Padres / suegros (017)",53,,,1,5,26,21
"Otro(a) pariente (018)",904,14,244,414,169,48,15
"Trabajador(a) del hogar (019)",51,,,32,15,4,
"Pensionistas (020)",20,,3,9,6,1,1
"Otro(a) no pariente (021)",2176,7,101,1283,559,208,18
"Mujeres (022)",8166,242,2686,2847,1692,584,115
"Jefe o Jefa (023)",1420,,18,588,567,205,42
"Esposa(o) / compañera(o) (024)",2155,,3,910,902,304,36
"Hijo(a) / hijastro(a) (025)",2901,199,2248,430,23,1,
"Yerno / nuera (026)",62,,,56,5,1,
"Nieto(a) (027)",101,14,78,9,,,
"Padres / suegros (028)",52,,,,3,27,22
"Otro(a) pariente (029)",634,18,246,257,77,25,11
"Trabajador(a) del hogar (030)",122,,1,105,12,4,
"Pensionistas (031)",15,,3,8,1,1,2
"Otro(a) no pariente (032)",704,11,89,484,102,16,2
,,,,,,,
"URBANA (033)",7013,184,2369,2054,1641,661,104
"Jefe o Jefa (034)",1955,,18,524,940,414,59
"Esposa(o) / compañera(o) (035)",959,,4,349,458,135,13
"Hijo(a) / hijastro(a) (036)",2643,156,2009,455,23,,
"Yerno / nuera (037)",40,,,34,5,1,
"Nieto(a) (038)",93,10,76,7,,,
"Padres / suegros (039)",51,,,1,2,31,17
"Otro(a) pariente (040)",581,13,197,248,92,24,7
"Trabajador(a) del hogar (041)",57,,,50,7,,
"Pensionistas (042)",14,,2,7,3,1,1
"Otro(a) no pariente (043)",620,5,63,379,111,55,7
"Hombres (044)",3565,89,1205,952,842,412,65
"Jefe o Jefa (045)",1227,,6,248,619,310,44
"Esposa(o) / compañera(o) (046)",154,,2,54,68,28,2
"Hijo(a) / hijastro(a) (047)",1404,78,1037,275,14,,
"Yerno / nuera (048)",15,,,13,2,,
"Nieto(a) (049)",48,6,38,4,,,
"Padres / suegros (050)",21,,,1,,12,8
"Otro(a) pariente (051)",309,5,89,139,56,15,5
"Trabajador(a) del hogar (052)",13,,,8,5,,
"Pensionistas (053)",8,,1,4,3,,
"Otro(a) no pariente (054)",366,,32,206,75,47,6
"Mujeres (055)",3448,95,1164,1102,799,249,39
"Jefe o Jefa (056)",728,,12,276,321,104,15
"Esposa(o) / compañera(o) (057)",805,,2,295,390,107,11
"Hijo(a) / hijastro(a) (058)",1239,78,972,180,9,,
"Yerno / nuera (059)",25,,,21,3,1,
"Nieto(a) (060)",45,4,38,3,,,
"Padres / suegros (061)",30,,,,2,19,9
"Otro(a) pariente (062)",272,8,108,109,36,9,2
"Trabajador(a) del hogar (063)",44,,,42,2,,
"Pensionistas (064)",6,,1,3,,1,1
"Otro(a) no pariente (065)",254,5,31,173,36,8,1
,,,,,,,
"RURAL (066)",11549,282,3124,4230,2601,1107,205
"Jefe o Jefa (067)",2924,,14,934,1228,631,117
"Esposa(o) / compañera(o) (068)",1517,,1,682,582,224,28
"Hijo(a) / hijastro(a) (069)",3487,228,2579,634,43,3,
"Yerno / nuera (070)",76,,,62,14,,
"Nieto(a) (071)",137,22,105,10,,,
"Padres / suegros (072)",54,,,,6,22,26
"Otro(a) pariente (073)",957,19,293,423,154,49,19
"Trabajador(a) del hogar (074)",116,,1,87,20,8,
"Pensionistas (075)",21,,4,10,4,1,2
"Otro(a) no pariente (076)",2260,13,127,1388,550,169,13
"Hombres (077)",6831,135,1602,2485,1708,772,129
"Jefe o Jefa (078)",2232,,8,622,982,530,90
"Esposa(o) / compañera(o) (079)",167,,,67,70,27,3
"Hijo(a) / hijastro(a) (080)",1825,107,1303,384,29,2,
"Yerno / nuera (081)",39,,,27,12,,
"Nieto(a) (082)",81,12,65,4,,,
"Padres / suegros (083)",32,,,,5,14,13
"Otro(a) pariente (084)",595,9,155,275,113,33,10
"Trabajador(a) del hogar (085)",38,,,24,10,4,
"Pensionistas (086)",12,,2,5,3,1,1
"Otro(a) no pariente (087)",1810,7,69,1077,484,161,12
"Mujeres (088)",4718,147,1522,1745,893,335,76
"Jefe o Jefa (089)",692,,6,312,246,101,27
"Esposa(o) / compañera(o) (090)",1350,,1,615,512,197,25
"Hijo(a) / hijastro(a) (091)",1662,121,1276,250,14,1,
"Yerno / nuera (092)",37,,,35,2,,
"Nieto(a) (093)",56,10,40,6,,,
"Padres / suegros (094)",22,,,,1,8,13
"Otro(a) pariente (095)",362,10,138,148,41,16,9
"Trabajador(a) del hogar (096)",78,,1,63,10,4,
"Pensionistas (097)",9,,2,5,1,,1
"Otro(a) no pariente (098)",450,6,58,311,66,8,1
