"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia CHUMBIVILCAS",,,,,,,,
"Hogares (001)",19536,16452,1931,658,63,113,238,2830
"Ocupantes presentes (002)",75104,66428,7600,2580,247,461,927,7705
"Casa independiente",,,,,,,,
"Hogares (004)",17061,14429,1743,610,59,105,206,2426
"Ocupantes presentes (005)",65685,58304,6929,2410,232,427,823,6593
"Departamento en edificio",,,,,,,,
"Hogares (007)",7,6,4,,,1,1,
"Ocupantes presentes (008)",28,23,17,,,5,5,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",24,21,12,3,1,,4,2
"Ocupantes presentes (011)",73,66,37,9,4,,14,5
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",233,185,103,29,3,5,24,30
"Ocupantes presentes (014)",671,555,309,88,11,22,75,67
"Choza o cabaña",,,,,,,,
"Hogares (016)",2185,1795,65,16,,2,1,363
"Ocupantes presentes (017)",8576,7425,296,73,,7,3,1028
"Vivienda improvisada",,,,,,,,
"Hogares (019)",4,1,,,,,,3
"Ocupantes presentes (020)",9,4,,,,,,5
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",20,14,4,,,,2,5
"Ocupantes presentes (023)",58,49,12,,,,7,5
"Otro tipo",,,,,,,,
"Hogares (025)",2,1,,,,,,1
"Ocupantes presentes (026)",4,2,,,,,,2
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",4742,3920,1567,467,53,100,230,640
"Ocupantes presentes (029)",17041,14673,5982,1713,200,411,900,1685
"Casa independiente",,,,,,,,
"Hogares (031)",4462,3699,1444,435,49,94,199,602
"Ocupantes presentes (032)",16211,13983,5607,1616,185,384,799,1605
"Departamento en edificio",,,,,,,,
"Hogares (034)",7,6,4,,,1,1,
"Ocupantes presentes (035)",28,23,17,,,5,5,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",24,21,12,3,1,,4,2
"Ocupantes presentes (038)",73,66,37,9,4,,14,5
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",233,185,103,29,3,5,24,30
"Ocupantes presentes (041)",671,555,309,88,11,22,75,67
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",4,1,,,,,,3
"Ocupantes presentes (047)",9,4,,,,,,5
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",12,8,4,,,,2,3
"Ocupantes presentes (050)",49,42,12,,,,7,3
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",14794,12532,364,191,10,13,8,2190
"Ocupantes presentes (056)",58063,51755,1618,867,47,50,27,6020
"Casa independiente",,,,,,,,
"Hogares (058)",12599,10730,299,175,10,11,7,1824
"Ocupantes presentes (059)",49474,44321,1322,794,47,43,24,4988
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",2185,1795,65,16,,2,1,363
"Ocupantes presentes (071)",8576,7425,296,73,,7,3,1028
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,6,,,,,,2
"Ocupantes presentes (077)",9,7,,,,,,2
"Otro tipo",,,,,,,,
"Hogares (079)",2,1,,,,,,1
"Ocupantes presentes (080)",4,2,,,,,,2
