"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CUTERVO",,,,,,,
"Viviendas particulares (001)",31110,2934,251,393,26426,459,647
"Ocupantes presentes (002)",137853,11000,1003,1720,119617,1780,2733
"Casa independiente",,,,,,,
"Viviendas particulares (004)",28439,2506,251,377,24333,407,565
"Ocupantes presentes (005)",126202,9354,1003,1662,110184,1584,2415
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",70,46,,1,20,1,2
"Ocupantes presentes (008)",316,177,,3,126,1,9
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",53,38,,,9,,6
"Ocupantes presentes (011)",221,146,,,58,,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",68,33,,1,28,3,3
"Ocupantes presentes (014)",300,127,,5,144,15,9
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",2452,304,,14,2025,40,69
"Ocupantes presentes (017)",10716,1175,,50,9066,150,275
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",4,1,,,2,,1
"Ocupantes presentes (020)",15,4,,,6,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",21,4,,,8,8,1
"Ocupantes presentes (023)",80,15,,,32,30,3
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,2,,,1,,
"Ocupantes presentes (026)",3,2,,,1,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6374,1335,111,129,4574,57,168
"Ocupantes presentes (029)",26520,4925,433,564,19679,215,704
"Casa independiente",,,,,,,
"Viviendas particulares (031)",6170,1213,111,127,4513,50,156
"Ocupantes presentes (032)",25641,4458,433,556,19338,192,664
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",70,46,,1,20,1,2
"Ocupantes presentes (035)",316,177,,3,126,1,9
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",53,38,,,9,,6
"Ocupantes presentes (038)",221,146,,,58,,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",68,33,,1,28,3,3
"Ocupantes presentes (041)",300,127,,5,144,15,9
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",4,1,,,2,,1
"Ocupantes presentes (047)",15,4,,,6,,5
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",8,3,,,2,3,
"Ocupantes presentes (050)",26,12,,,7,7,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",1,1,,,,,
"Ocupantes presentes (053)",1,1,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",24736,1599,140,264,21852,402,479
"Ocupantes presentes (056)",111333,6075,570,1156,99938,1565,2029
"Casa independiente",,,,,,,
"Viviendas particulares (058)",22269,1293,140,250,19820,357,409
"Ocupantes presentes (059)",100561,4896,570,1106,90846,1392,1751
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",2452,304,,14,2025,40,69
"Ocupantes presentes (071)",10716,1175,,50,9066,150,275
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",13,1,,,6,5,1
"Ocupantes presentes (077)",54,3,,,25,23,3
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,1,,,1,,
"Ocupantes presentes (080)",2,1,,,1,,
