"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PISCO (000)",5818,5399,419
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",269,269,
"Casa pensión (003)",15,15,
"Hospital, clinica (004)",49,49,
"Asilo (006)",23,23,
"Aldea infantil, orfelinato, etc (007)",150,150,
"Otro (008)",4740,4322,418
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",572,571,1
