"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SECHURA (000)",19445,14292,2477,1057,1619
"Agric., ganadería, caza y silvicultura (001)",4429,4213,173,40,3
"Pesca (002)",3992,2413,1245,283,51
"Explotación de minas y canteras (003)",24,8,5,3,8
"Industrias manufactureras (004)",1715,780,264,222,449
"Suministro de electricidad, gas y agua (005)",25,10,4,7,4
"Construcción (006)",638,479,100,49,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3127,2876,185,34,32
"Venta, mant.y rep. veh.autom y motoc. (008)",249,201,25,17,6
"Comercio al por mayor (009)",338,270,37,5,26
"Comercio al por menor (010)",2540,2405,123,12,
"Hoteles y restaurantes (011)",733,657,62,6,8
"Trans., almac. y comunicaciones (012)",1684,1471,102,76,35
"Intermediación financiera (013)",34,12,5,9,8
"Activid.inmobil., empres. y alquileres (014)",403,236,49,48,70
"Admin.pub. y defensa; p. segur soc.afil (015)",704,,,,704
"Enseñanza (016)",663,165,166,223,109
"Servicios sociales y de salud (017)",138,33,5,6,94
"Otras activ. serv.comun.soc y personales (018)",432,286,86,38,22
"Hogares privados con servicio doméstico (019)",438,438,,,
"Actividad economica no especificada (021)",266,215,26,13,12
"Hombres (022)",14164,10479,2162,769,754
"Agric., ganadería, caza y silvicultura (023)",4192,4007,151,31,3
"Pesca (024)",3923,2374,1230,277,42
"Explotación de minas y canteras (025)",20,7,5,1,7
"Industrias manufactureras (026)",960,504,227,125,104
"Suministro de electricidad, gas y agua (027)",23,9,4,6,4
"Construcción (028)",622,476,98,39,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1355,1176,131,24,24
"Venta, mant.y rep. veh.autom y motoc. (030)",237,191,25,15,6
"Comercio al por mayor (031)",245,193,30,4,18
"Comercio al por menor (032)",873,792,76,5,
"Hoteles y restaurantes (033)",119,87,20,5,7
"Trans., almac. y comunicaciones (034)",1611,1413,99,69,30
"Intermediación financiera (035)",14,3,1,6,4
"Activid.inmobil., empres. y alquileres (036)",263,157,30,39,37
"Admin.pub. y defensa; p. segur soc.afil (037)",386,,,,386
"Enseñanza (038)",264,41,75,102,46
"Servicios sociales y de salud (039)",49,9,1,4,35
"Otras activ. serv.comun.soc y personales (040)",277,159,73,31,14
"Hogares privados con servicio doméstico (041)",13,13,,,
