"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GRAN CHIMU (000)",10214,8073,526,448,1167
"Sin nivel (001)",812,775,18,9,10
"Educación inicial (002)",47,39,5,3,
"Primaria (003)",5140,4610,171,152,207
"Secundaria (004)",2691,1958,132,117,484
"Superior no univ. incompleta (005)",260,159,20,16,65
"Superior no univ. completa (006)",548,273,74,61,140
"Superior univ. incompleta (007)",129,66,11,7,45
"Superior univ. completa (008)",587,193,95,83,216
"De 06 a 14 años (010)",191,175,9,5,2
"Sin nivel (011)",10,9,,1,
"Educación inicial (012)",4,4,,,
"Primaria (013)",138,129,5,2,2
"Secundaria (014)",39,33,4,2,
"De 15 a 29 años (020)",3265,2473,178,167,447
"Sin nivel (021)",136,125,7,3,1
"Educación inicial (022)",31,23,5,3,
"Primaria (023)",1419,1227,60,64,68
"Secundaria (024)",1288,918,68,70,232
"Superior no univ. incompleta (025)",104,61,7,6,30
"Superior no univ. completa (026)",132,66,12,11,43
"Superior univ. incompleta (027)",42,18,5,4,15
"Superior univ. completa (028)",113,35,14,6,58
"De 30 a 44 años (030)",3417,2490,226,193,508
"Sin nivel (031)",222,211,7,2,2
"Educación inicial (032)",12,12,,,
"Primaria (033)",1562,1341,65,61,95
"Secundaria (034)",882,619,40,31,192
"Superior no univ. incompleta (035)",105,64,7,8,26
"Superior no univ. completa (036)",278,125,46,39,68
"Superior univ. incompleta (037)",53,27,4,2,20
"Superior univ. completa (038)",303,91,57,50,105
"De 45 a 64 años (040)",2503,2123,100,75,205
"Sin nivel (041)",234,223,2,2,7
"Primaria (043)",1483,1388,34,21,40
"Secundaria (044)",441,350,19,13,59
"Superior no univ. incompleta (045)",45,29,5,2,9
"Superior no univ. completa (046)",121,66,16,10,29
"Superior univ. incompleta (047)",29,16,2,1,10
"Superior univ. completa (048)",150,51,22,26,51
"De 65 y más años (050)",838,812,13,8,5
"Sin nivel (051)",210,207,2,1,
"Primaria (053)",538,525,7,4,2
"Secundaria (054)",41,38,1,1,1
"Superior no univ. incompleta (055)",6,5,1,,
"Superior no univ. completa (056)",17,16,,1,
"Superior univ. incompleta (057)",5,5,,,
"Superior univ. completa (058)",21,16,2,1,2
,,,,,
"URBANA (060)",2343,1684,258,226,175
