"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",22188,5145,499,10419,4941,287,341,127,429
"Quechua (001)",19884,4776,369,9647,4271,214,254,86,267
"Aymara (002)",14,2,,8,2,,1,,1
"Ashaninca (003)",2,,,,1,,,,1
"Otra lengua nativa (004)",11,3,,4,4,,,,
"Castellano (005)",2232,326,130,754,662,73,86,41,160
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",44,38,,6,,,,,
"Hombres (009)",10776,1541,245,5115,3062,187,221,90,315
"Quechua (010)",9562,1356,185,4725,2693,141,179,65,218
"Aymara (011)",7,1,,2,2,,1,,1
"Ashaninca (012)",1,,,,,,,,1
"Otra lengua nativa (013)",7,,,4,3,,,,
"Castellano (014)",1174,166,60,378,363,46,41,25,95
"Idioma extranjero (015)",1,,,,1,,,,
"Es sordomudo/a (016)",24,18,,6,,,,,
"Mujeres (018)",11412,3604,254,5304,1879,100,120,37,114
"Quechua (019)",10322,3420,184,4922,1578,73,75,21,49
"Aymara (020)",7,1,,6,,,,,
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",4,3,,,1,,,,
"Castellano (023)",1058,160,70,376,299,27,45,16,65
"Es sordomudo/a (025)",20,20,,,,,,,
,,,,,,,,,
"URBANA (027)",7100,1208,171,2910,1952,203,227,90,339
"Quechua (028)",5708,1005,93,2489,1545,142,162,63,209
"Aymara (029)",7,,,4,2,,,,1
"Ashaninca (030)",2,,,,1,,,,1
"Otra lengua nativa (031)",8,3,,3,2,,,,
"Castellano (032)",1362,189,78,413,401,61,65,27,128
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",12,11,,1,,,,,
"Hombres (036)",3479,350,82,1361,1116,125,136,65,244
"Quechua (037)",2778,245,48,1163,912,86,105,49,170
"Aymara (038)",3,,,,2,,,,1
"Ashaninca (039)",1,,,,,,,,1
"Otra lengua nativa (040)",5,,,3,2,,,,
"Castellano (041)",685,100,34,194,199,39,31,16,72
"Idioma extranjero (042)",1,,,,1,,,,
"Es sordomudo/a (043)",6,5,,1,,,,,
"Mujeres (045)",3621,858,89,1549,836,78,91,25,95
"Quechua (046)",2930,760,45,1326,633,56,57,14,39
"Aymara (047)",4,,,4,,,,,
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",3,3,,,,,,,
"Castellano (050)",677,89,44,219,202,22,34,11,56
"Es sordomudo/a (052)",6,6,,,,,,,
,,,,,,,,,
"RURAL (054)",15088,3937,328,7509,2989,84,114,37,90
"Quechua (055)",14176,3771,276,7158,2726,72,92,23,58
"Aymara (056)",7,2,,4,,,1,,
"Otra lengua nativa (058)",3,,,1,2,,,,
"Castellano (059)",870,137,52,341,261,12,21,14,32
"Es sordomudo/a (061)",32,27,,5,,,,,
"Hombres (063)",7297,1191,163,3754,1946,62,85,25,71
"Quechua (064)",6784,1111,137,3562,1781,55,74,16,48
"Aymara (065)",4,1,,2,,,1,,
"Otra lengua nativa (067)",2,,,1,1,,,,
"Castellano (068)",489,66,26,184,164,7,10,9,23
"Es sordomudo/a (070)",18,13,,5,,,,,
"Mujeres (072)",7791,2746,165,3755,1043,22,29,12,19
"Quechua (073)",7392,2660,139,3596,945,17,18,7,10
"Aymara (074)",3,1,,2,,,,,
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",381,71,26,157,97,5,11,5,9
"Es sordomudo/a (079)",14,14,,,,,,,
