"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MARTIN (000)",66729,1294,67,19070,26183,4009,6951,3052,6103
"Empleado (001)",18436,50,8,1015,5145,1793,4362,1678,4385
"Obrero (002)",9535,203,13,3383,4877,370,376,181,132
"Trabajador independiente (003)",28602,712,22,10220,12125,1463,1837,930,1293
"Empleador o patrono (004)",1728,20,2,514,622,92,174,100,204
"Trabajador familiar no remunerado (005)",5464,224,14,2710,1998,168,134,140,76
"Trabajador del hogar (006)",2964,85,8,1228,1416,123,68,23,13
"Hombres (008)",43908,685,46,12809,18273,2429,3821,2014,3831
"Empleado (009)",10417,26,6,563,3150,952,2139,995,2586
"Obrero (010)",8276,132,10,2795,4393,329,336,163,118
"Trabajador independiente (011)",20875,446,17,7641,8977,1002,1175,685,932
"Empleador o patrono (012)",1368,14,2,433,497,66,118,76,162
"Trabajador familiar no remunerado (013)",2848,64,11,1333,1189,75,50,94,32
"Trabajador del hogar (014)",124,3,,44,67,5,3,1,1
"Mujeres (016)",22821,609,21,6261,7910,1580,3130,1038,2272
"Empleado (017)",8019,24,2,452,1995,841,2223,683,1799
"Obrero (018)",1259,71,3,588,484,41,40,18,14
"Trabajador independiente (019)",7727,266,5,2579,3148,461,662,245,361
"Empleador o patrono (020)",360,6,,81,125,26,56,24,42
"Trabajador familiar no remunerado (021)",2616,160,3,1377,809,93,84,46,44
"Trabajador del hogar (022)",2840,82,8,1184,1349,118,65,22,12
,,,,,,,,,
"URBANA (024)",60798,895,58,15365,24664,3940,6822,3015,6039
"Empleado (025)",18141,43,8,977,5068,1774,4277,1659,4335
"Obrero (026)",8732,158,11,2897,4626,366,365,178,131
"Trabajador independiente (027)",25400,483,18,8133,11322,1430,1814,916,1284
"Empleador o patrono (028)",1514,11,2,384,560,88,169,99,201
"Trabajador familiar no remunerado (029)",4147,123,11,1794,1715,159,130,140,75
"Trabajador del hogar (030)",2864,77,8,1180,1373,123,67,23,13
"Hombres (032)",39255,444,40,9915,16988,2373,3733,1982,3780
"Empleado (033)",10200,19,6,534,3085,939,2089,980,2548
"Obrero (034)",7620,102,9,2410,4172,325,325,160,117
"Trabajador independiente (035)",18064,283,14,5799,8245,972,1156,672,923
"Empleador o patrono (036)",1177,8,2,317,440,62,113,75,160
"Trabajador familiar no remunerado (037)",2076,29,9,814,982,70,47,94,31
"Trabajador del hogar (038)",118,3,,41,64,5,3,1,1
"Mujeres (040)",21543,451,18,5450,7676,1567,3089,1033,2259
"Empleado (041)",7941,24,2,443,1983,835,2188,679,1787
"Obrero (042)",1112,56,2,487,454,41,40,18,14
"Trabajador independiente (043)",7336,200,4,2334,3077,458,658,244,361
"Empleador o patrono (044)",337,3,,67,120,26,56,24,41
"Trabajador familiar no remunerado (045)",2071,94,2,980,733,89,83,46,44
"Trabajador del hogar (046)",2746,74,8,1139,1309,118,64,22,12
,,,,,,,,,
"RURAL (048)",5931,399,9,3705,1519,69,129,37,64
"Empleado (049)",295,7,,38,77,19,85,19,50
"Obrero (050)",803,45,2,486,251,4,11,3,1
"Trabajador independiente (051)",3202,229,4,2087,803,33,23,14,9
"Empleador o patrono (052)",214,9,,130,62,4,5,1,3
"Trabajador familiar no remunerado (053)",1317,101,3,916,283,9,4,,1
"Trabajador del hogar (054)",100,8,,48,43,,1,,
"Hombres (056)",4653,241,6,2894,1285,56,88,32,51
"Empleado (057)",217,7,,29,65,13,50,15,38
"Obrero (058)",656,30,1,385,221,4,11,3,1
"Trabajador independiente (059)",2811,163,3,1842,732,30,19,13,9
"Empleador o patrono (060)",191,6,,116,57,4,5,1,2
"Trabajador familiar no remunerado (061)",772,35,2,519,207,5,3,,1
"Trabajador del hogar (062)",6,,,3,3,,,,
"Mujeres (064)",1278,158,3,811,234,13,41,5,13
"Empleado (065)",78,,,9,12,6,35,4,12
"Obrero (066)",147,15,1,101,30,,,,
"Trabajador independiente (067)",391,66,1,245,71,3,4,1,
"Empleador o patrono (068)",23,3,,14,5,,,,1
"Trabajador familiar no remunerado (069)",545,66,1,397,76,4,1,,
"Trabajador del hogar (070)",94,8,,45,40,,1,,
