"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SANCHEZ CARRION (000)",35416,1116,13131,11160,7583,2426
"Agric., ganadería, caza y silvicultura (001)",22720,868,8416,6479,4991,1966
"Pesca (002)",8,,3,3,2,
"Explotación de minas y canteras (003)",775,5,461,222,78,9
"Industrias manufactureras (004)",1612,37,579,499,371,126
"Suministro de electricidad, gas y agua (005)",33,,12,10,9,2
"Construcción (006)",1473,20,538,572,313,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2511,68,802,887,618,136
"Venta, mant.y rep. veh.autom.y motoc. (008)",218,12,111,63,29,3
"Comercio al por mayor (009)",166,4,60,61,39,2
"Comercio al por menor (010)",2127,52,631,763,550,131
"Hoteles y restaurantes (011)",785,30,277,256,180,42
"Trans., almac. y comunicaciones (012)",963,11,482,305,160,5
"Intermediación financiera (013)",49,,35,12,2,
"Activid.inmobil., empres. y alquileres (014)",290,1,128,100,57,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",518,,170,224,122,2
"Enseñanza (016)",1526,,293,918,308,7
"Servicios sociales y de salud (017)",231,,62,109,58,2
"Otras activ. serv.comun.soc y personales (018)",427,26,129,177,78,17
"Hogares privados con servicio doméstico (019)",621,47,396,114,55,9
"Actividad economica no especificada (021)",874,3,348,273,181,69
"Hombres (022)",27964,744,10235,8762,6153,2070
"Agric., ganadería, caza y silvicultura (023)",20386,603,7365,5995,4604,1819
"Pesca (024)",7,,3,3,1,
"Explotación de minas y canteras (025)",764,5,454,218,78,9
"Industrias manufactureras (026)",1164,21,405,365,281,92
"Suministro de electricidad, gas y agua (027)",31,,11,9,9,2
"Construcción (028)",1438,20,520,560,308,30
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1281,51,446,442,276,66
"Venta, mant.y rep. veh.autom.y motoc. (030)",207,12,104,61,27,3
"Comercio al por mayor (031)",118,4,41,43,28,2
"Comercio al por menor (032)",956,35,301,338,221,61
"Hoteles y restaurantes (033)",125,9,52,37,21,6
"Trans., almac. y comunicaciones (034)",922,10,454,293,160,5
"Intermediación financiera (035)",24,,17,5,2,
"Activid.inmobil., empres. y alquileres (036)",206,1,74,80,47,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",397,,117,181,97,2
"Enseñanza (038)",694,,107,413,169,5
"Servicios sociales y de salud (039)",91,,14,47,28,2
