"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PAUCAR DEL SARA SARA (000)",3207,2357,850
"Red pública de desague dentro de la vivienda (001)",432,393,39
"Red pública de desague fuera de la vivienda (002)",92,79,13
"Pozo séptico (003)",183,164,19
"Pozo ciego o negro / letrina (004)",921,786,135
"Río, acequia o canal (005)",7,6,1
"No tiene (006)",1572,929,643
,,,
"URBANA (008)",2137,1801,336
"Red pública de desague dentro de la vivienda (009)",427,391,36
"Red pública de desague fuera de la vivienda (010)",90,77,13
"Pozo séptico (011)",154,142,12
"Pozo ciego o negro / letrina (012)",614,552,62
"Río, acequia o canal (013)",5,5,
"No tiene (014)",847,634,213
,,,
"RURAL (016)",1070,556,514
"Red pública de desague dentro de la vivienda (017)",5,2,3
"Red pública de desague fuera de la vivienda (018)",2,2,
"Pozo séptico (019)",29,22,7
"Pozo ciego o negro / letrina (020)",307,234,73
"Río, acequia o canal (021)",2,1,1
"No tiene (022)",725,295,430
