"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia HUANTA (000)",48328,38806,9522
"De 3 a 5 años (001)",7615,513,7102
"De 6 a 11 años (002)",15835,13851,1984
"De 12 a 16 años (003)",11801,11664,137
"De 17 a 24 años (004)",13077,12778,299
"Hombres (005)",24686,19943,4743
"De 3 a 5 años (006)",3872,256,3616
"De 6 a 11 años (007)",8024,7044,980
"De 12 a 16 años (008)",6034,5978,56
"De 17 a 24 años (009)",6756,6665,91
"Mujeres (010)",23642,18863,4779
"De 3 a 5 años (011)",3743,257,3486
"De 6 a 11 años (012)",7811,6807,1004
"De 12 a 16 años (013)",5767,5686,81
"De 17 a 24 años (014)",6321,6113,208
,,,
"URBANA (015)",22462,19099,3363
"De 3 a 5 años (016)",3105,332,2773
"De 6 a 11 años (017)",7073,6594,479
"De 12 a 16 años (018)",5908,5866,42
"De 17 a 24 años (019)",6376,6307,69
"Hombres (020)",11328,9630,1698
"De 3 a 5 años (021)",1578,162,1416
"De 6 a 11 años (022)",3568,3327,241
"De 12 a 16 años (023)",2956,2937,19
"De 17 a 24 años (024)",3226,3204,22
"Mujeres (025)",11134,9469,1665
"De 3 a 5 años (026)",1527,170,1357
"De 6 a 11 años (027)",3505,3267,238
"De 12 a 16 años (028)",2952,2929,23
"De 17 a 24 años (029)",3150,3103,47
,,,
"RURAL (030)",25866,19707,6159
"De 3 a 5 años (031)",4510,181,4329
"De 6 a 11 años (032)",8762,7257,1505
"De 12 a 16 años (033)",5893,5798,95
"De 17 a 24 años (034)",6701,6471,230
"Hombres (035)",13358,10313,3045
"De 3 a 5 años (036)",2294,94,2200
"De 6 a 11 años (037)",4456,3717,739
"De 12 a 16 años (038)",3078,3041,37
"De 17 a 24 años (039)",3530,3461,69
"Mujeres (040)",12508,9394,3114
"De 3 a 5 años (041)",2216,87,2129
"De 6 a 11 años (042)",4306,3540,766
"De 12 a 16 años (043)",2815,2757,58
"De 17 a 24 años (044)",3171,3010,161
