"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TACNA (000)",245652,19047,7264,56243,85632,15312,18536,18307,25311
"Jefe o Jefa (001)",75789,3553,57,14774,28246,5218,7753,5367,10821
"Esposa(o)/ compa¤era(o) (002)",38280,2282,32,8378,14262,2218,4136,2061,4911
"Hijo(a)/ hijastro(a) (003)",91754,9104,5758,24468,28323,5157,4098,8227,6619
"Yerno/ nuera (004)",3698,24,4,166,1564,396,597,350,597
"Nieto(a) (005)",7941,1672,941,2867,1680,221,97,330,133
"Padres/ suegros (006)",3207,997,,1282,590,32,112,45,149
"Otro(a) pariente (007)",18448,1152,418,3421,8084,1450,1182,1393,1348
"Trabajador(a) del hogar (008)",667,18,,135,410,51,28,16,9
"Pensionista (009)",494,7,,37,252,50,40,64,44
"Otro(a) no pariente (010)",5374,238,54,715,2221,519,493,454,680
"Hombres (012)",120756,7489,3702,25634,44490,8050,8646,9914,12831
"Jefe o Jefa (013)",50274,1069,20,8381,20074,3660,5243,3938,7889
"Esposa(o)/ compa¤era(o) (014)",3844,72,1,594,1751,295,337,327,467
"Hijo(a)/ hijastro(a) (015)",47070,4694,2990,12596,15080,2690,1876,4209,2935
"Yerno/ nuera (016)",1865,11,2,57,765,178,300,202,350
"Nieto(a) (017)",4047,850,461,1442,905,113,40,178,58
"Padres/ suegros (018)",1032,169,,502,231,12,30,25,63
"Otro(a) pariente (019)",9540,495,208,1692,4349,774,572,763,687
"Trabajador(a) del hogar (020)",44,1,,6,24,4,4,1,4
"Pensionista (021)",280,3,,15,139,33,22,39,29
"Otro(a) no pariente (022)",2760,125,20,349,1172,291,222,232,349
"Mujeres (024)",124896,11558,3562,30609,41142,7262,9890,8393,12480
"Jefe o Jefa (025)",25515,2484,37,6393,8172,1558,2510,1429,2932
"Esposa(o)/ compa¤era(o) (026)",34436,2210,31,7784,12511,1923,3799,1734,4444
"Hijo(a)/ hijastro(a) (027)",44684,4410,2768,11872,13243,2467,2222,4018,3684
"Yerno/ nuera (028)",1833,13,2,109,799,218,297,148,247
"Nieto(a) (029)",3894,822,480,1425,775,108,57,152,75
"Padres/ suegros (030)",2175,828,,780,359,20,82,20,86
"Otro(a) pariente (031)",8908,657,210,1729,3735,676,610,630,661
"Trabajador(a) del hogar (032)",623,17,,129,386,47,24,15,5
"Pensionista (033)",214,4,,22,113,17,18,25,15
"Otro(a) no pariente (034)",2614,113,34,366,1049,228,271,222,331
,,,,,,,,,
"URBANA (036)",229948,17054,6795,51481,80082,14450,17812,17679,24595
"Jefe o Jefa (037)",70270,2977,52,12975,26286,4923,7416,5164,10477
"Esposa(o)/ compa¤era(o) (038)",35513,1805,31,7458,13270,2099,4008,2019,4823
"Hijo(a)/ hijastro(a) (039)",86442,8469,5387,22950,26530,4863,3904,7926,6413
"Yerno/ nuera (040)",3527,23,4,155,1456,383,581,340,585
"Nieto(a) (041)",7508,1580,885,2704,1585,209,95,321,129
"Padres/ suegros (042)",3055,911,,1223,585,31,112,44,149
