"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia OYON",,,,,,,,
"Hogares (001)",5283,3586,2692,1023,93,371,284,1110
"Ocupantes presentes (002)",18829,13866,10881,4362,359,1591,1226,2826
"Casa independiente",,,,,,,,
"Hogares (004)",4757,3233,2488,940,83,343,253,971
"Ocupantes presentes (005)",17210,12689,10114,4023,318,1488,1094,2496
"Departamento en edificio",,,,,,,,
"Hogares (007)",27,22,23,10,5,12,3,2
"Ocupantes presentes (008)",78,68,70,34,16,40,12,4
"Vivienda en quinta",,,,,,,,
"Hogares (010)",120,83,80,31,,5,12,20
"Ocupantes presentes (011)",430,330,316,131,,16,55,48
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",135,107,97,42,5,10,16,16
"Ocupantes presentes (014)",491,392,365,174,25,45,65,49
"Choza o cabaña",,,,,,,,
"Hogares (016)",237,140,1,,,,,97
"Ocupantes presentes (017)",596,378,3,,,,,218
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",7,1,3,,,1,,4
"Ocupantes presentes (023)",24,9,13,,,2,,11
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",3532,2456,2148,898,76,320,262,617
"Ocupantes presentes (029)",12942,9706,8797,3868,313,1414,1133,1574
"Casa independiente",,,,,,,,
"Hogares (031)",3243,2243,1945,815,66,292,231,575
"Ocupantes presentes (032)",11919,8907,8033,3529,272,1311,1001,1462
"Departamento en edificio",,,,,,,,
"Hogares (034)",27,22,23,10,5,12,3,2
"Ocupantes presentes (035)",78,68,70,34,16,40,12,4
"Vivienda en quinta",,,,,,,,
"Hogares (037)",120,83,80,31,,5,12,20
"Ocupantes presentes (038)",430,330,316,131,,16,55,48
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",135,107,97,42,5,10,16,16
"Ocupantes presentes (041)",491,392,365,174,25,45,65,49
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",7,1,3,,,1,,4
"Ocupantes presentes (050)",24,9,13,,,2,,11
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",1751,1130,544,125,17,51,22,493
"Ocupantes presentes (056)",5887,4160,2084,494,46,177,93,1252
"Casa independiente",,,,,,,,
"Hogares (058)",1514,990,543,125,17,51,22,396
"Ocupantes presentes (059)",5291,3782,2081,494,46,177,93,1034
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",237,140,1,,,,,97
"Ocupantes presentes (071)",596,378,3,,,,,218
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
