"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONCEPCION (000)",55431,7255,1564,21989,17245,2057,2178,1281,1862
"Jefe o Jefa (001)",14740,1622,10,6004,4774,492,741,306,791
"Esposa(o)/ compa¤era(o) (002)",8938,1378,14,4008,2480,261,394,123,280
"Hijo(a)/ hijastro(a) (003)",24406,2797,1208,9286,8048,1039,773,673,582
"Yerno/ nuera (004)",750,22,1,139,355,59,101,27,46
"Nieto(a) (005)",2769,577,263,1168,562,67,36,70,26
"Padres/ suegros (006)",847,411,,363,51,2,6,2,12
"Otro(a) pariente (007)",2480,389,58,878,800,117,88,63,87
"Trabajador(a) del hogar (008)",45,7,,13,21,1,1,1,1
"Pensionista (009)",17,1,,1,6,,4,1,4
"Otro(a) no pariente (010)",439,51,10,129,148,19,34,15,33
"Hombres (012)",26516,2448,768,10101,9496,1014,1034,688,967
"Jefe o Jefa (013)",9953,498,3,3958,3753,363,559,230,589
"Esposa(o)/ compa¤era(o) (014)",726,39,,281,298,34,28,20,26
"Hijo(a)/ hijastro(a) (015)",12339,1353,601,4600,4386,484,328,349,238
"Yerno/ nuera (016)",331,7,,37,166,29,46,19,27
"Nieto(a) (017)",1417,294,130,588,306,29,21,35,14
"Padres/ suegros (018)",222,47,,145,22,2,3,,3
"Otro(a) pariente (019)",1279,191,28,423,465,63,35,27,47
"Trabajador(a) del hogar (020)",9,1,,1,5,,1,,1
"Pensionista (021)",13,,,1,4,,3,1,4
"Otro(a) no pariente (022)",227,18,6,67,91,10,10,7,18
"Mujeres (024)",28915,4807,796,11888,7749,1043,1144,593,895
"Jefe o Jefa (025)",4787,1124,7,2046,1021,129,182,76,202
"Esposa(o)/ compa¤era(o) (026)",8212,1339,14,3727,2182,227,366,103,254
"Hijo(a)/ hijastro(a) (027)",12067,1444,607,4686,3662,555,445,324,344
"Yerno/ nuera (028)",419,15,1,102,189,30,55,8,19
"Nieto(a) (029)",1352,283,133,580,256,38,15,35,12
"Padres/ suegros (030)",625,364,,218,29,,3,2,9
"Otro(a) pariente (031)",1201,198,30,455,335,54,53,36,40
"Trabajador(a) del hogar (032)",36,6,,12,16,1,,1,
"Pensionista (033)",4,1,,,2,,1,,
"Otro(a) no pariente (034)",212,33,4,62,57,9,24,8,15
,,,,,,,,,
"URBANA (036)",28632,2649,766,9136,10030,1570,1777,1096,1608
"Jefe o Jefa (037)",7685,488,5,2479,2802,393,585,262,671
"Esposa(o)/ compa¤era(o) (038)",4426,380,4,1546,1581,214,344,109,248
"Hijo(a)/ hijastro(a) (039)",12162,1085,567,3694,4371,755,620,565,505
"Yerno/ nuera (040)",467,9,,47,216,44,85,21,45
"Nieto(a) (041)",1545,292,147,585,354,52,33,63,19
"Padres/ suegros (042)",479,190,,230,41,2,5,2,9
"Otro(a) pariente (043)",1474,166,33,452,527,91,71,58,76
"Trabajador(a) del hogar (044)",34,6,,10,14,1,1,1,1
"Pensionista (045)",10,1,,1,3,,2,1,2
