"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LUCANAS (000)",17527,348,6862,5315,1663,589,271,107,16,,2356
"Catolica (001)",15891,309,6170,4813,1530,547,246,96,16,,2164
"Cristiana / Evangelica (002)",1394,34,598,430,108,38,19,8,,,159
"Otra (003)",131,2,53,36,18,1,5,2,,,14
"Ninguna (004)",111,3,41,36,7,3,1,1,,,19
,,,,,,,,,,,
"URBANA (006)",10662,216,3922,3282,1088,410,198,75,14,,1457
"Catolica (007)",9857,192,3604,3034,1012,384,182,68,14,,1367
"Cristiana / Evangelica (008)",680,21,274,209,59,24,11,5,,,77
"Otra (009)",76,2,24,22,12,,4,2,,,10
"Ninguna (010)",49,1,20,17,5,2,1,,,,3
,,,,,,,,,,,
"RURAL (012)",6865,132,2940,2033,575,179,73,32,2,,899
"Catolica (013)",6034,117,2566,1779,518,163,64,28,2,,797
"Cristiana / Evangelica (014)",714,13,324,221,49,14,8,3,,,82
"Otra (015)",55,,29,14,6,1,1,,,,4
"Ninguna (016)",62,2,21,19,2,1,,1,,,16
