"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia MARISCAL LUZURIAGA",,,,,,,,,
"Viviendas particulares (001)",5380,883,354,148,12,579,2733,292,379
"Ocupantes presentes (002)",23182,3854,1567,738,68,2443,11823,1010,1679
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",5332,882,354,148,12,578,2693,287,378
"Ocupantes presentes (005)",22993,3851,1567,738,68,2438,11669,990,1672
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",46,,,,,1,39,5,1
"Ocupantes presentes (017)",181,,,,,5,149,20,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,1,,,,,1,,
"Ocupantes presentes (023)",8,3,,,,,5,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",689,371,30,,,41,156,37,54
"Ocupantes presentes (029)",2761,1482,131,,,179,651,110,208
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",688,370,30,,,41,156,37,54
"Ocupantes presentes (032)",2758,1479,131,,,179,651,110,208
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4691,512,324,148,12,538,2577,255,325
"Ocupantes presentes (056)",20421,2372,1436,738,68,2264,11172,900,1471
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",4644,512,324,148,12,537,2537,250,324
"Ocupantes presentes (059)",20235,2372,1436,738,68,2259,11018,880,1464
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",46,,,,,1,39,5,1
"Ocupantes presentes (071)",181,,,,,5,149,20,7
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,1,,
"Ocupantes presentes (077)",5,,,,,,5,,
"Otro tipo",,,,,,,,,
