"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUANCAVELICA (000)",141005,2916,52090,37959,22489,17373,8178
"Casa independiente (001)",126663,2641,47210,33872,19878,15686,7376
"Departamento en edificio (002)",330,3,77,94,98,46,12
"Vivienda en quinta (003)",1652,27,502,520,381,170,52
"Vivienda en casa de vecindad (004)",6410,131,2118,2103,1306,559,193
"Choza o cabaña (005)",5706,114,2095,1296,785,879,537
"Vivienda improvisada (006)",57,,22,16,14,5,
"Local no destinado para hab.humana (007)",174,,64,53,25,26,6
"Otro tipo (008)",13,,2,5,2,2,2
,,,,,,,
"URBANA (009)",58144,982,18756,17411,10656,7245,3094
"Casa independiente (010)",49531,821,15976,14625,8838,6440,2831
"Departamento en edificio (011)",330,3,77,94,98,46,12
"Vivienda en quinta (012)",1652,27,502,520,381,170,52
"Vivienda en casa de vecindad (013)",6410,131,2118,2103,1306,559,193
"Vivienda improvisada (015)",57,,22,16,14,5,
"Local no destinado para hab.humana (016)",152,,59,48,17,23,5
"Otro tipo (017)",12,,2,5,2,2,1
,,,,,,,
"RURAL (018)",82861,1934,33334,20548,11833,10128,5084
"Casa independiente (019)",77132,1820,31234,19247,11040,9246,4545
"Choza o cabaña (023)",5706,114,2095,1296,785,879,537
"Local no destinado para hab.humana (025)",22,,5,5,8,3,1
"Otro tipo (026)",1,,,,,,1
