"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHICLAYO (000)",750284,12903,202816,205250,156268,122606,50441
"Jefe o Jefa (001)",175953,,124,20076,58482,66453,30818
"Esposa(o) / compañera(o) (002)",110465,,127,19922,44313,36472,9631
"Hijo(a) / hijastro(a) (003)",311748,7218,145022,115569,35214,8525,200
"Yerno / nuera (004)",16110,,96,8611,6156,1193,54
"Nieto(a) (005)",60569,4449,42602,12693,781,44,
"Padres / suegros (006)",8572,,,4,182,2129,6257
"Otro(a) pariente (007)",54010,1123,13254,21416,8709,6454,3054
"Trabajador(a) del hogar (008)",2513,,124,1851,339,173,26
"Pensionistas (009)",903,,28,563,167,93,52
"Otro(a) no pariente (010)",9441,113,1439,4545,1925,1070,349
"Hombres (011)",360358,6580,102607,97941,71599,57268,24363
"Jefe o Jefa (012)",124943,,57,14212,43330,46919,20425
"Esposa(o) / compañera(o) (013)",6301,,87,1441,2221,1807,745
"Hijo(a) / hijastro(a) (014)",156802,3664,73511,59589,16411,3555,72
"Yerno / nuera (015)",7656,,38,2985,3708,885,40
"Nieto(a) (016)",30968,2301,21643,6607,396,21,
"Padres / suegros (017)",2374,,,1,54,510,1809
"Otro(a) pariente (018)",26349,553,6608,10697,4409,2984,1098
"Trabajador(a) del hogar (019)",90,,10,60,8,9,3
"Pensionistas (020)",543,,15,336,101,63,28
"Otro(a) no pariente (021)",4332,62,638,2013,961,515,143
"Mujeres (022)",389926,6323,100209,107309,84669,65338,26078
"Jefe o Jefa (023)",51010,,67,5864,15152,19534,10393
"Esposa(o) / compañera(o) (024)",104164,,40,18481,42092,34665,8886
"Hijo(a) / hijastro(a) (025)",154946,3554,71511,55980,18803,4970,128
"Yerno / nuera (026)",8454,,58,5626,2448,308,14
"Nieto(a) (027)",29601,2148,20959,6086,385,23,
"Padres / suegros (028)",6198,,,3,128,1619,4448
"Otro(a) pariente (029)",27661,570,6646,10719,4300,3470,1956
"Trabajador(a) del hogar (030)",2423,,114,1791,331,164,23
"Pensionistas (031)",360,,13,227,66,30,24
"Otro(a) no pariente (032)",5109,51,801,2532,964,555,206
,,,,,,,
"URBANA (033)",701171,12041,187981,192203,146472,115398,47076
"Jefe o Jefa (034)",164543,,119,18733,54581,62496,28614
"Esposa(o) / compañera(o) (035)",102279,,122,18202,41030,34032,8893
"Hijo(a) / hijastro(a) (036)",289370,6676,133392,107696,33320,8098,188
"Yerno / nuera (037)",15146,,91,8000,5863,1139,53
"Nieto(a) (038)",57224,4194,40170,12076,741,43,
"Padres / suegros (039)",8216,,,4,171,2066,5975
"Otro(a) pariente (040)",51818,1059,12536,20690,8385,6210,2938
"Trabajador(a) del hogar (041)",2482,,123,1828,333,172,26
"Pensionistas (042)",877,,28,546,162,90,51
"Otro(a) no pariente (043)",9216,112,1400,4428,1886,1052,338
"Hombres (044)",335229,6117,94967,91215,66815,53576,22539
"Jefe o Jefa (045)",115602,,55,13063,39984,43700,18800
"Esposa(o) / compañera(o) (046)",6056,,83,1384,2135,1740,714
"Hijo(a) / hijastro(a) (047)",144919,3372,67564,55115,15453,3346,69
"Yerno / nuera (048)",7287,,38,2802,3557,851,39
"Nieto(a) (049)",29191,2166,20343,6287,375,20,
"Padres / suegros (050)",2251,,,1,52,488,1710
"Otro(a) pariente (051)",25135,517,6239,10255,4221,2861,1042
"Trabajador(a) del hogar (052)",88,,10,59,7,9,3
"Pensionistas (053)",521,,15,322,97,60,27
"Otro(a) no pariente (054)",4179,62,620,1927,934,501,135
"Mujeres (055)",365942,5924,93014,100988,79657,61822,24537
"Jefe o Jefa (056)",48941,,64,5670,14597,18796,9814
"Esposa(o) / compañera(o) (057)",96223,,39,16818,38895,32292,8179
"Hijo(a) / hijastro(a) (058)",144451,3304,65828,52581,17867,4752,119
"Yerno / nuera (059)",7859,,53,5198,2306,288,14
"Nieto(a) (060)",28033,2028,19827,5789,366,23,
"Padres / suegros (061)",5965,,,3,119,1578,4265
"Otro(a) pariente (062)",26683,542,6297,10435,4164,3349,1896
"Trabajador(a) del hogar (063)",2394,,113,1769,326,163,23
"Pensionistas (064)",356,,13,224,65,30,24
"Otro(a) no pariente (065)",5037,50,780,2501,952,551,203
,,,,,,,
"RURAL (066)",49113,862,14835,13047,9796,7208,3365
"Jefe o Jefa (067)",11410,,5,1343,3901,3957,2204
"Esposa(o) / compañera(o) (068)",8186,,5,1720,3283,2440,738
"Hijo(a) / hijastro(a) (069)",22378,542,11630,7873,1894,427,12
"Yerno / nuera (070)",964,,5,611,293,54,1
"Nieto(a) (071)",3345,255,2432,617,40,1,
"Padres / suegros (072)",356,,,,11,63,282
"Otro(a) pariente (073)",2192,64,718,726,324,244,116
"Trabajador(a) del hogar (074)",31,,1,23,6,1,
"Pensionistas (075)",26,,,17,5,3,1
"Otro(a) no pariente (076)",225,1,39,117,39,18,11
"Hombres (077)",25129,463,7640,6726,4784,3692,1824
"Jefe o Jefa (078)",9341,,2,1149,3346,3219,1625
"Esposa(o) / compañera(o) (079)",245,,4,57,86,67,31
"Hijo(a) / hijastro(a) (080)",11883,292,5947,4474,958,209,3
"Yerno / nuera (081)",369,,,183,151,34,1
"Nieto(a) (082)",1777,135,1300,320,21,1,
"Padres / suegros (083)",123,,,,2,22,99
"Otro(a) pariente (084)",1214,36,369,442,188,123,56
"Trabajador(a) del hogar (085)",2,,,1,1,,
"Pensionistas (086)",22,,,14,4,3,1
"Otro(a) no pariente (087)",153,,18,86,27,14,8
"Mujeres (088)",23984,399,7195,6321,5012,3516,1541
"Jefe o Jefa (089)",2069,,3,194,555,738,579
"Esposa(o) / compañera(o) (090)",7941,,1,1663,3197,2373,707
