"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAL (000)",79,72,7
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",25,25,
"Casa pensión (003)",9,8,1
"Hospital, clinica (004)",6,6,
"Cárcel, centro de readaptación social (005)",1,,1
"Otro (008)",33,29,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,4,1
