"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANUCO (000)",90485,70791,6773,5788,7133
"Empleado (001)",20828,6596,3172,4756,6304
"Obrero (002)",12570,9362,1530,884,794
"Trabajador independiente (003)",43648,42060,1588,,
"Empleador o patrono (004)",1826,1567,148,91,20
"Trabajador familiar no remunerado (005)",8879,8472,335,57,15
"Trabajador del hogar (006)",2734,2734,,,
"De 06 a 14 años (008)",1737,1623,94,19,1
"Empleado (009)",124,101,17,6,
"Obrero (010)",261,231,21,8,1
"Trabajador independiente (011)",182,171,11,,
"Empleador o patrono (012)",2,2,,,
"Trabajador familiar no remunerado (013)",1022,972,45,5,
"Trabajador del hogar (014)",146,146,,,
"De 15 a 29 años (016)",30599,24410,2766,1800,1623
"Empleado (017)",7232,3173,1280,1395,1384
"Obrero (018)",5331,4063,695,348,225
"Trabajador independiente (019)",11525,10955,570,,
"Empleador o patrono (020)",414,341,39,28,6
"Trabajador familiar no remunerado (021)",4628,4409,182,29,8
"Trabajador del hogar (022)",1469,1469,,,
"De 30 a 44 años (024)",31417,23242,2428,2497,3250
"Empleado (025)",8463,2177,1252,2144,2890
"Obrero (026)",3958,2792,505,312,349
"Trabajador independiente (027)",15815,15259,556,,
"Empleador o patrono (028)",703,610,57,29,7
"Trabajador familiar no remunerado (029)",1815,1741,58,12,4
"Trabajador del hogar (030)",663,663,,,
"De 45 a 64 años (032)",21879,16999,1321,1394,2165
"Empleado (033)",4752,1037,585,1162,1968
"Obrero (034)",2551,1888,278,197,188
"Trabajador independiente (035)",12584,12205,379,,
"Empleador o patrono (036)",542,466,43,26,7
"Trabajador familiar no remunerado (037)",1064,1017,36,9,2
"Trabajador del hogar (038)",386,386,,,
"De 65 y más años (040)",4853,4517,164,78,94
"Empleado (041)",257,108,38,49,62
"Obrero (042)",469,388,31,19,31
"Trabajador independiente (043)",3542,3470,72,,
"Empleador o patrono (044)",165,148,9,8,
"Trabajador familiar no remunerado (045)",350,333,14,2,1
"Trabajador del hogar (046)",70,70,,,
,,,,,
"URBANA (048)",58112,40276,5526,5460,6850
"Empleado (049)",20060,6251,3063,4651,6095
"Obrero (050)",6712,4300,1007,685,720
"Trabajador independiente (051)",25001,23828,1173,,
