"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHANCHAMAYO (000)",39735,1042,17531,11097,3484,1221,541,161,26,,4632
"Catolica (001)",24777,598,10368,7103,2408,871,361,101,12,,2955
"Cristiana / Evangelica (002)",11699,321,5606,3100,859,280,155,54,12,,1312
"Otra (003)",1486,44,653,446,132,49,18,4,2,,138
"Ninguna (004)",1773,79,904,448,85,21,7,2,,,227
,,,,,,,,,,,
"URBANA (006)",23757,462,9432,6984,2403,894,397,106,21,,3058
"Catolica (007)",15821,275,6044,4741,1729,663,276,66,11,,2016
"Cristiana / Evangelica (008)",5925,132,2528,1645,513,178,101,37,8,,783
"Otra (009)",1005,26,402,306,103,41,15,2,2,,108
"Ninguna (010)",1006,29,458,292,58,12,5,1,,,151
,,,,,,,,,,,
"RURAL (012)",15978,580,8099,4113,1081,327,144,55,5,,1574
"Catolica (013)",8956,323,4324,2362,679,208,85,35,1,,939
"Cristiana / Evangelica (014)",5774,189,3078,1455,346,102,54,17,4,,529
"Otra (015)",481,18,251,140,29,8,3,2,,,30
"Ninguna (016)",767,50,446,156,27,9,2,1,,,76
