"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANTABAMBA (000)",11373,4749,962,141,5528
"Sin Nivel (001)",2299,959,71,14,1257
"Educación Inicial (002)",331,275,27,2,27
"Primaria (003)",4736,2369,253,33,2082
"Secundaria (004)",3071,1047,245,44,1737
"Sup. no Univ. Incompleta (005)",222,42,35,6,139
"Sup. no Univ. Completa (006)",276,18,123,10,125
"Sup. Univ. Incompleta (007)",127,13,31,7,76
"Sup. Univ. Completa (008)",311,26,177,25,85
"Hombres (010)",5802,2256,504,76,2970
"Sin Nivel (011)",726,380,24,2,320
"Educación Inicial (012)",175,146,12,1,16
"Primaria (013)",2446,1139,110,11,1187
"Secundaria (014)",1835,535,123,30,1148
"Sup. no Univ. Incompleta (015)",146,20,26,3,97
"Sup. no Univ. Completa (016)",180,10,74,9,87
"Sup. Univ. Incompleta (017)",88,7,18,4,59
"Sup. Univ. Completa (018)",206,19,117,16,56
"Mujeres (020)",5571,2493,458,65,2558
"Sin Nivel (021)",1573,579,47,12,937
"Educación Inicial (022)",156,129,15,1,11
"Primaria (023)",2290,1230,143,22,895
"Secundaria (024)",1236,512,122,14,589
"Sup. no Univ. Incompleta (025)",76,22,9,3,42
"Sup. no Univ. Completa (026)",96,8,49,1,38
"Sup. Univ. Incompleta (027)",39,6,13,3,17
"Sup. Univ. Completa (028)",105,7,60,9,29
,,,,,
"URBANA (030)",8029,3452,815,116,3651
"Sin Nivel (031)",1290,594,52,9,636
"Educación Inicial (032)",255,206,26,2,21
"Primaria (033)",3203,1691,200,28,1284
"Secundaria (034)",2461,871,212,39,1341
"Sup. no Univ. Incompleta (035)",186,36,30,5,115
"Sup. no Univ. Completa (036)",241,17,106,7,111
"Sup. Univ. Incompleta (037)",110,12,30,6,62
"Sup. Univ. Completa (038)",283,25,159,20,81
"Hombres (040)",4036,1645,414,59,1921
"Sin Nivel (041)",400,247,19,1,133
"Educación Inicial (042)",132,106,12,1,13
"Primaria (043)",1554,797,80,8,669
"Secundaria (044)",1421,446,101,25,850
"Sup. no Univ. Incompleta (045)",120,15,21,3,81
"Sup. no Univ. Completa (046)",152,9,60,6,77
"Sup. Univ. Incompleta (047)",73,7,17,3,46
"Sup. Univ. Completa (048)",184,18,104,12,52
"Mujeres (050)",3993,1807,401,57,1730
"Sin Nivel (051)",890,347,33,8,503
"Educación Inicial (052)",123,100,14,1,8
"Primaria (053)",1649,894,120,20,615
"Secundaria (054)",1040,425,111,14,491
"Sup. no Univ. Incompleta (055)",66,21,9,2,34
"Sup. no Univ. Completa (056)",89,8,46,1,34
"Sup. Univ. Incompleta (057)",37,5,13,3,16
"Sup. Univ. Completa (058)",99,7,55,8,29
,,,,,
"RURAL (060)",3344,1297,147,25,1877
"Sin Nivel (061)",1009,365,19,5,621
"Educación Inicial (062)",76,69,1,,6
"Primaria (063)",1533,678,53,5,798
"Secundaria (064)",610,176,33,5,396
"Sup. no Univ. Incompleta (065)",36,6,5,1,24
"Sup. no Univ. Completa (066)",35,1,17,3,14
"Sup. Univ. Incompleta (067)",17,1,1,1,14
"Sup. Univ. Completa (068)",28,1,18,5,4
"Hombres (070)",1766,611,90,17,1049
"Sin Nivel (071)",326,133,5,1,187
"Educación Inicial (072)",43,40,,,3
"Primaria (073)",892,342,30,3,518
"Secundaria (074)",414,89,22,5,298
"Sup. no Univ. Incompleta (075)",26,5,5,,16
"Sup. no Univ. Completa (076)",28,1,14,3,10
"Sup. Univ. Incompleta (077)",15,,1,1,13
"Sup. Univ. Completa (078)",22,1,13,4,4
"Mujeres (080)",1578,686,57,8,828
"Sin Nivel (081)",683,232,14,4,434
"Educación Inicial (082)",33,29,1,,3
"Primaria (083)",641,336,23,2,280
"Secundaria (084)",196,87,11,,98
"Sup. no Univ. Incompleta (085)",10,1,,1,8
"Sup. no Univ. Completa (086)",7,,3,,4
"Sup. Univ. Incompleta (087)",2,1,,,1
"Sup. Univ. Completa (088)",6,,5,1,
