"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",49440,7095,695,26415,9662,1540,2308,500,1225
"Hombres (001)",25317,1914,343,13565,5883,926,1568,325,793
"Mujeres (002)",24123,5181,352,12850,3779,614,740,175,432
"PEA (003)",16469,1564,9,7378,3596,761,1804,337,1020
"Hombres (004)",13569,1072,8,6366,3115,613,1397,266,732
"Mujeres (005)",2900,492,1,1012,481,148,407,71,288
"Ocupada (006)",15421,1496,9,6840,3324,721,1714,321,996
"Hombres (007)",12687,1018,8,5913,2875,581,1328,252,712
"Mujeres (008)",2734,478,1,927,449,140,386,69,284
"Desocupada (009)",1048,68,,538,272,40,90,16,24
"Hombres (010)",882,54,,453,240,32,69,14,20
"Mujeres (011)",166,14,,85,32,8,21,2,4
"No PEA (012)",32971,5531,686,19037,6066,779,504,163,205
"Hombres (013)",11748,842,335,7199,2768,313,171,59,61
"Mujeres (014)",21223,4689,351,11838,3298,466,333,104,144
,,,,,,,,,
"URBANA (018)",17252,1653,286,6869,4861,1040,1419,318,806
"Hombres (019)",8220,329,148,3210,2619,529,782,167,436
"Mujeres (020)",9032,1324,138,3659,2242,511,637,151,370
"PEA (021)",5799,350,6,1499,1675,447,1014,188,620
"Hombres (022)",4105,167,5,1117,1323,322,663,126,382
"Mujeres (023)",1694,183,1,382,352,125,351,62,238
"Ocupada (024)",5261,319,6,1333,1489,411,932,172,599
"Hombres (025)",3651,142,5,970,1162,293,602,112,365
"Mujeres (026)",1610,177,1,363,327,118,330,60,234
"Desocupada (027)",538,31,,166,186,36,82,16,21
"Hombres (028)",454,25,,147,161,29,61,14,17
"Mujeres (029)",84,6,,19,25,7,21,2,4
"No PEA (030)",11453,1303,280,5370,3186,593,405,130,186
"Hombres (031)",4115,162,143,2093,1296,207,119,41,54
"Mujeres (032)",7338,1141,137,3277,1890,386,286,89,132
,,,,,,,,,
"RURAL (036)",32188,5442,409,19546,4801,500,889,182,419
"Hombres (037)",17097,1585,195,10355,3264,397,786,158,357
"Mujeres (038)",15091,3857,214,9191,1537,103,103,24,62
"PEA (039)",10670,1214,3,5879,1921,314,790,149,400
"Hombres (040)",9464,905,3,5249,1792,291,734,140,350
"Mujeres (041)",1206,309,,630,129,23,56,9,50
"Ocupada (042)",10160,1177,3,5507,1835,310,782,149,397
"Hombres (043)",9036,876,3,4943,1713,288,726,140,347
"Mujeres (044)",1124,301,,564,122,22,56,9,50
"Desocupada (045)",510,37,,372,86,4,8,,3
"Hombres (046)",428,29,,306,79,3,8,,3
"Mujeres (047)",82,8,,66,7,1,,,
"No PEA (048)",21518,4228,406,13667,2880,186,99,33,19
"Hombres (049)",7633,680,192,5106,1472,106,52,18,7
"Mujeres (050)",13885,3548,214,8561,1408,80,47,15,12
