"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN MARTIN (000)",1989,54,1033,553,298,51
"Sin nivel (001)",22,2,6,5,8,1
"Educación inicial (002)",7,2,4,1,,
"Primaria (003)",485,29,148,148,120,40
"Secundaria (004)",875,21,515,225,108,6
"Superior no univ. incompleta (005)",139,,96,34,9,
"Superior no univ. completa (006)",215,,129,59,24,3
"Superior univ. incompleta (007)",100,,73,18,9,
"Superior univ. completa (008)",146,,62,63,20,1
"Hombres (010)",1326,36,646,366,237,41
"Sin nivel (011)",12,1,4,2,5,
"Educación inicial (012)",2,1,1,,,
"Primaria (013)",373,20,111,110,99,33
"Secundaria (014)",607,14,340,159,88,6
"Superior no univ. incompleta (015)",73,,43,22,8,
"Superior no univ. completa (016)",106,,66,26,13,1
"Superior univ. incompleta (017)",69,,49,11,9,
"Superior univ. completa (018)",84,,32,36,15,1
"Mujeres (020)",663,18,387,187,61,10
"Sin nivel (021)",10,1,2,3,3,1
"Educación inicial (022)",5,1,3,1,,
"Primaria (023)",112,9,37,38,21,7
"Secundaria (024)",268,7,175,66,20,
"Superior no univ. incompleta (025)",66,,53,12,1,
"Superior no univ. completa (026)",109,,63,33,11,2
"Superior univ. incompleta (027)",31,,24,7,,
"Superior univ. completa (028)",62,,30,27,5,
,,,,,,
"Area Urbana (030)",1825,41,968,503,270,43
"Sin nivel (031)",17,2,6,3,5,1
"Educación inicial (032)",7,2,4,1,,
"Primaria (033)",382,18,111,121,100,32
"Secundaria (034)",827,19,490,208,104,6
"Superior no univ. incompleta (035)",136,,94,33,9,
"Superior no univ. completa (036)",212,,128,57,24,3
"Superior univ. incompleta (037)",100,,73,18,9,
"Superior univ. completa (038)",144,,62,62,19,1
"Hombres (040)",1194,29,589,326,214,36
"Sin nivel (041)",9,1,4,1,3,
"Educación inicial (042)",2,1,1,,,
"Primaria (043)",293,14,78,90,83,28
"Secundaria (044)",563,13,318,142,84,6
"Superior no univ. incompleta (045)",71,,42,21,8,
"Superior no univ. completa (046)",105,,65,26,13,1
"Superior univ. incompleta (047)",69,,49,11,9,
"Superior univ. completa (048)",82,,32,35,14,1
"Mujeres (050)",631,12,379,177,56,7
"Sin nivel (051)",8,1,2,2,2,1
"Educación inicial (052)",5,1,3,1,,
"Primaria (053)",89,4,33,31,17,4
"Secundaria (054)",264,6,172,66,20,
"Superior no univ. incompleta (055)",65,,52,12,1,
"Superior no univ. completa (056)",107,,63,31,11,2
"Superior univ. incompleta (057)",31,,24,7,,
"Superior univ. completa (058)",62,,30,27,5,
,,,,,,
"Area Rural (060)",164,13,65,50,28,8
"Sin nivel (061)",5,,,2,3,
"Primaria (063)",103,11,37,27,20,8
"Secundaria (064)",48,2,25,17,4,
"Superior no univ. incompleta (065)",3,,2,1,,
"Superior no univ. completa (066)",3,,1,2,,
"Superior univ. completa (068)",2,,,1,1,
"Hombres (070)",132,7,57,40,23,5
"Sin nivel (071)",3,,,1,2,
"Primaria (073)",80,6,33,20,16,5
"Secundaria (074)",44,1,22,17,4,
"Superior no univ. incompleta (075)",2,,1,1,,
"Superior no univ. completa (076)",1,,1,,,
"Superior univ. completa (078)",2,,,1,1,
"Mujeres (080)",32,6,8,10,5,3
"Sin nivel (081)",2,,,1,1,
"Primaria (083)",23,5,4,7,4,3
"Secundaria (084)",4,1,3,,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",2,,,2,,
