"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN IGNACIO (000)",52,44,8
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",17,17,
"Casa pensión (003)",2,1,1
"Hospital, clinica (004)",3,3,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",24,18,6
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,4,1
