"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SECHURA (000)",56483,6242,2318,27199,14361,1969,2359,1050,985
"Jefe o Jefa (001)",14652,659,34,7903,4190,515,716,233,402
"Esposa(o)/ compa¤era(o) (002)",10477,703,37,5990,2475,375,599,123,175
"Hijo(a)/ hijastro(a) (003)",25795,4077,1999,11044,6109,866,836,566,298
"Yerno/ nuera (004)",889,13,3,345,340,63,65,34,26
"Nieto(a) (005)",1598,414,169,613,303,35,27,28,9
"Padres/ suegros (006)",475,161,,277,32,3,2,,
"Otro(a) pariente (007)",2035,194,74,831,655,89,81,52,59
"Trabajador(a) del hogar (008)",92,6,,45,40,,1,,
"Pensionista (009)",85,2,,20,42,4,2,8,7
"Otro(a) no pariente (010)",385,13,2,131,175,19,30,6,9
"Hombres (012)",28143,2639,1151,12957,8213,952,1078,591,562
"Jefe o Jefa (013)",11762,260,17,6279,3673,413,577,208,335
"Esposa(o)/ compa¤era(o) (014)",317,13,1,152,117,13,10,5,6
"Hijo(a)/ hijastro(a) (015)",13395,2021,1017,5498,3578,432,380,310,159
"Yerno/ nuera (016)",336,1,1,123,128,26,28,14,15
"Nieto(a) (017)",801,214,79,294,169,16,14,12,3
"Padres/ suegros (018)",154,27,,106,17,3,1,,
"Otro(a) pariente (019)",1148,94,36,448,413,39,52,33,33
"Trabajador(a) del hogar (020)",4,1,,1,2,,,,
"Pensionista (021)",54,2,,10,25,4,1,6,6
"Otro(a) no pariente (022)",172,6,,46,91,6,15,3,5
"Mujeres (024)",28340,3603,1167,14242,6148,1017,1281,459,423
"Jefe o Jefa (025)",2890,399,17,1624,517,102,139,25,67
"Esposa(o)/ compa¤era(o) (026)",10160,690,36,5838,2358,362,589,118,169
"Hijo(a)/ hijastro(a) (027)",12400,2056,982,5546,2531,434,456,256,139
"Yerno/ nuera (028)",553,12,2,222,212,37,37,20,11
"Nieto(a) (029)",797,200,90,319,134,19,13,16,6
"Padres/ suegros (030)",321,134,,171,15,,1,,
"Otro(a) pariente (031)",887,100,38,383,242,50,29,19,26
"Trabajador(a) del hogar (032)",88,5,,44,38,,1,,
"Pensionista (033)",31,,,10,17,,1,2,1
"Otro(a) no pariente (034)",213,7,2,85,84,13,15,3,4
,,,,,,,,,
"URBANA (036)",52974,5759,2201,25097,13744,1897,2277,1030,969
"Jefe o Jefa (037)",13754,577,34,7296,4021,502,698,228,398
"Esposa(o)/ compa¤era(o) (038)",9847,627,36,5560,2380,363,588,123,170
"Hijo(a)/ hijastro(a) (039)",24144,3814,1898,10143,5830,828,788,552,291
"Yerno/ nuera (040)",842,12,3,320,326,60,61,34,26
"Nieto(a) (041)",1484,387,158,561,283,32,27,27,9
"Padres/ suegros (042)",456,148,,271,32,3,2,,
"Otro(a) pariente (043)",1911,175,70,762,625,87,81,52,59
"Trabajador(a) del hogar (044)",92,6,,45,40,,1,,
"Pensionista (045)",84,1,,20,42,4,2,8,7
"Otro(a) no pariente (046)",360,12,2,119,165,18,29,6,9
