"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SULLANA (000)",269410,43393,39190,16003,171548
"Quechua (001)",278,29,45,32,175
"Aymara (002)",39,10,10,12,13
"Asháninka (003)",20,8,3,6,5
"Otra lengua nativa (004)",858,244,108,43,466
"Castellano (005)",267913,43041,38988,15903,170690
"Idioma Extranjero (006)",18,,4,,14
"Es Sordomudo/a (007)",284,61,32,7,185
"Hombres (009)",133340,19843,18978,9240,85726
"Quechua (010)",165,14,28,26,99
"Aymara (011)",19,2,7,6,6
"Asháninka (012)",6,1,1,2,3
"Otra lengua nativa (013)",457,119,55,25,259
"Castellano (014)",132527,19676,18860,9180,85252
"Idioma Extranjero (015)",11,,2,,9
"Es Sordomudo/a (016)",155,31,25,1,98
"Mujeres (018)",136070,23550,20212,6763,85822
"Quechua (019)",113,15,17,6,76
"Aymara (020)",20,8,3,6,7
"Asháninka (021)",14,7,2,4,2
"Otra lengua nativa (022)",401,125,53,18,207
"Castellano (023)",135386,23365,20128,6723,85438
"Idioma Extranjero (024)",7,,2,,5
"Es Sordomudo/a (025)",129,30,7,6,87
,,,,,
"URBANA (027)",242360,37227,37446,15287,153100
"Quechua (028)",254,24,44,30,159
"Aymara (029)",35,9,10,12,10
"Asháninka (030)",19,7,3,6,5
"Otra lengua nativa (031)",698,211,103,35,352
"Castellano (032)",241100,36926,37252,15197,152410
"Idioma Extranjero (033)",18,,4,,14
"Es Sordomudo/a (034)",236,50,30,7,150
"Hombres (036)",119131,16899,18041,8728,75890
"Quechua (037)",150,12,27,24,89
"Aymara (038)",18,2,7,6,5
"Asháninka (039)",6,1,1,2,3
"Otra lengua nativa (040)",366,94,52,20,201
"Castellano (041)",118451,16765,17929,8675,75503
"Idioma Extranjero (042)",11,,2,,9
"Es Sordomudo/a (043)",129,25,23,1,80
"Mujeres (045)",123229,20328,19405,6559,77210
"Quechua (046)",104,12,17,6,70
"Aymara (047)",17,7,3,6,5
"Asháninka (048)",13,6,2,4,2
"Otra lengua nativa (049)",332,117,51,15,151
"Castellano (050)",122649,20161,19323,6522,76907
"Idioma Extranjero (051)",7,,2,,5
"Es Sordomudo/a (052)",107,25,7,6,70
,,,,,
"RURAL (054)",27050,6166,1744,716,18448
"Quechua (055)",24,5,1,2,16
"Aymara (056)",4,1,,,3
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",160,33,5,8,114
"Castellano (059)",26813,6115,1736,706,18280
"Es Sordomudo/a (061)",48,11,2,,35
"Hombres (063)",14209,2944,937,512,9836
"Quechua (064)",15,2,1,2,10
"Aymara (065)",1,,,,1
"Otra lengua nativa (067)",91,25,3,5,58
"Castellano (068)",14076,2911,931,505,9749
"Es Sordomudo/a (070)",26,6,2,,18
"Mujeres (072)",12841,3222,807,204,8612
"Quechua (073)",9,3,,,6
"Aymara (074)",3,1,,,2
"Asháninka (075)",1,1,,,
"Otra lengua nativa (076)",69,8,2,3,56
"Castellano (077)",12737,3204,805,201,8531
"Es Sordomudo/a (079)",22,5,,,17
