"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANUCO (000)",147,138,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",91,91,
"Casa pensión (003)",3,3,
"Hospital, clinica (004)",16,10,6
"Cárcel, centro de readaptación social (005)",1,,1
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",5,4,1
"Otro (008)",22,21,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,8,
