"CUADRO Nº 4: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZAN EN EL HOGAR PARA COCINAR SUS ALIMENTOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ENERGÍA O COMBUSTIBLE QUE MÁS UTILIZA PARA COCINAR",,,,,,,"NO COCINAN"
,,ELECTRICIDAD,GAS,KEROSENE,CARBÓN,LEÑA,"BOSTA, ESTIÉRCOL",OTRO,
,,,,,,,,,
"Provincia CONTUMAZA",,,,,,,,,
"Hogares (001)",8258,14,1735,37,17,6280,11,5,159
"Ocupantes presentes (002)",31042,39,6171,89,61,24414,44,12,212
"Casa independiente",,,,,,,,,
"Hogares (004)",7790,13,1706,36,16,5852,9,4,154
"Ocupantes presentes (005)",29128,36,6065,88,51,22645,29,11,203
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",28,1,23,,,,,,4
"Ocupantes presentes (011)",95,3,85,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",10,,5,,,4,,,1
"Ocupantes presentes (014)",31,,18,,,11,,,2
"Choza o cabaña",,,,,,,,,
"Hogares (016)",426,,,1,1,422,2,,
"Ocupantes presentes (017)",1775,,,1,10,1749,15,,
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",2,,1,,,1,,,
"Ocupantes presentes (020)",8,,3,,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",1,,,,,,,1,
"Ocupantes presentes (023)",1,,,,,,,1,
"Otro tipo",,,,,,,,,
"Hogares (025)",1,,,,,1,,,
"Ocupantes presentes (026)",4,,,,,4,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",3546,11,1571,32,10,1807,5,4,106
"Ocupantes presentes (029)",13000,29,5667,71,34,7037,13,7,142
"Casa independiente",,,,,,,,,
"Hogares (031)",3504,10,1542,32,10,1801,5,3,101
"Ocupantes presentes (032)",12861,26,5561,71,34,7017,13,6,133
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",28,1,23,,,,,,4
"Ocupantes presentes (038)",95,3,85,,,,,,7
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",10,,5,,,4,,,1
"Ocupantes presentes (041)",31,,18,,,11,,,2
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",2,,1,,,1,,,
"Ocupantes presentes (047)",8,,3,,,5,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",1,,,,,,,1,
"Ocupantes presentes (050)",1,,,,,,,1,
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,1,,,
"Ocupantes presentes (053)",4,,,,,4,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",4712,3,164,5,7,4473,6,1,53
"Ocupantes presentes (056)",18042,10,504,18,27,17377,31,5,70
"Casa independiente",,,,,,,,,
"Hogares (058)",4286,3,164,4,6,4051,4,1,53
"Ocupantes presentes (059)",16267,10,504,17,17,15628,16,5,70
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",426,,,1,1,422,2,,
"Ocupantes presentes (071)",1775,,,1,10,1749,15,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
