"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CARAVELI (000)",8597,141,3355,2722,863,316,152,41,4,,1003
"Conviviente (001)",4251,61,1783,1435,371,124,50,14,1,,412
"Separado(a) (002)",501,22,220,147,47,15,7,,1,,42
"Casado(a) (003)",2479,34,908,822,317,127,64,19,1,,187
"Viudo(a) (004)",521,14,241,122,50,14,14,7,1,,58
"Divorciado(a) (005)",47,1,21,12,6,4,,,,,3
"Soltero(a) (006)",798,9,182,184,72,32,17,1,,,301
,,,,,,,,,,,
"URBANA (008)",5979,102,2269,1876,661,246,119,30,3,,673
"Conviviente (009)",2809,39,1159,950,266,88,33,10,1,,263
"Separado(a) (010)",364,19,150,104,39,13,6,,1,,32
"Casado(a) (011)",1813,21,643,593,253,104,56,15,1,,127
"Viudo(a) (012)",368,14,165,88,39,12,11,4,,,35
"Divorciado(a) (013)",36,1,15,9,5,3,,,,,3
"Soltero(a) (014)",589,8,137,132,59,26,13,1,,,213
,,,,,,,,,,,
"RURAL (016)",2618,39,1086,846,202,70,33,11,1,,330
"Conviviente (017)",1442,22,624,485,105,36,17,4,,,149
"Separado(a) (018)",137,3,70,43,8,2,1,,,,10
"Casado(a) (019)",666,13,265,229,64,23,8,4,,,60
"Viudo(a) (020)",153,,76,34,11,2,3,3,1,,23
"Divorciado(a) (021)",11,,6,3,1,1,,,,,
"Soltero(a) (022)",209,1,45,52,13,6,4,,,,88
