"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5488,20,87,311,554,1025,2094,1397
"De 12 a 14 años (001)",10,,,,,,,10
"De 15 a 19 años (002)",180,,,,,,106,74
"De 20 a 24 años (003)",552,,,,,3,340,209
"De 25 a 29 años (004)",637,,,,,7,448,182
"De 30 a 34 años (005)",632,,,,,79,450,103
"De 35 a 39 años (006)",555,,,,4,117,369,65
"De 40 a 44 años (007)",507,,,,11,207,214,75
"De 45 a 49 años (008)",439,,,,27,209,139,64
"De 50 y más años (009)",1976,20,87,311,512,403,28,615
"PEA (010)",1170,,5,30,104,292,450,289
"De 12 a 14 años (011)",1,,,,,,,1
"De 15 a 19 años (012)",16,,,,,,8,8
"De 20 a 24 años (013)",107,,,,,1,58,48
"De 25 a 29 años (014)",168,,,,,3,95,70
"De 30 a 34 años (015)",175,,,,,24,118,33
"De 35 a 39 años (016)",161,,,,3,43,93,22
"De 40 a 44 años (017)",144,,,,6,68,47,23
"De 45 a 49 años (018)",101,,,,6,56,28,11
"De 50 y más años (019)",297,,5,30,89,97,3,73
"Ocupada (020)",1141,,5,30,103,290,432,281
"De 12 a 14 años (021)",1,,,,,,,1
"De 15 a 19 años (022)",15,,,,,,8,7
"De 20 a 24 años (023)",102,,,,,1,55,46
"De 25 a 29 años (024)",158,,,,,3,88,67
"De 30 a 34 años (025)",170,,,,,23,115,32
"De 35 a 39 años (026)",158,,,,3,43,90,22
"De 40 a 44 años (027)",142,,,,6,67,46,23
"De 45 a 49 años (028)",100,,,,6,56,27,11
"De 50 y más años (029)",295,,5,30,88,97,3,72
"Desocupada (030)",29,,,,1,2,18,8
"De 15 a 19 años (032)",1,,,,,,,1
"De 20 a 24 años (033)",5,,,,,,3,2
"De 25 a 29 años (034)",10,,,,,,7,3
"De 30 a 34 años (035)",5,,,,,1,3,1
"De 35 a 39 años (036)",3,,,,,,3,
"De 40 a 44 años (037)",2,,,,,1,1,
"De 45 a 49 años (038)",1,,,,,,1,
"De 50 y más años (039)",2,,,,1,,,1
"No PEA (040)",4318,20,82,281,450,733,1644,1108
"De 12 a 14 años (041)",9,,,,,,,9
"De 15 a 19 años (042)",164,,,,,,98,66
"De 20 a 24 años (043)",445,,,,,2,282,161
"De 25 a 29 años (044)",469,,,,,4,353,112
"De 30 a 34 años (045)",457,,,,,55,332,70
"De 35 a 39 años (046)",394,,,,1,74,276,43
"De 40 a 44 años (047)",363,,,,5,139,167,52
"De 45 a 49 años (048)",338,,,,21,153,111,53
"De 50 y más años (049)",1679,20,82,281,423,306,25,542
