"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHEPEN (000)",29456,70019,64493,,1143,92.1,1.6
"De 12 a 14 años (001)",2489,11,11,,,100,
"De 15 a 19 años (002)",3626,541,533,155,98.5,28.7,
"De 20 a 24 años (003)",3162,2393,2366,285,98.9,11.9,
"De 25 a 29 años (004)",2912,4084,4011,281,98.2,6.9,
"De 30 a 34 años (005)",2915,5863,5712,240,97.4,4.1,
"De 35 a 39 años (006)",2830,7215,6981,119,96.8,1.6,
"De 40 a 44 años (007)",2491,7514,7209,56,95.9,0.7,
"De 45 a 49 años (008)",2051,7164,6767,7,94.5,0.1,
"De 50 y más años (009)",6980,35234,30903,,87.7,,
"PEA (010)",8070,17762,16719,176,94.1,1,
"De 12 a 14 años (011)",109,1,1,,100,,
"De 15 a 19 años (012)",597,86,86,13,100,15.1,
"De 20 a 24 años (013)",939,548,541,30,98.7,5.5,
"De 25 a 29 años (014)",967,1006,990,40,98.4,4,
"De 30 a 34 años (015)",1044,1808,1757,49,97.2,2.7,
"De 35 a 39 años (016)",1175,2774,2696,29,97.2,1,
"De 40 a 44 años (017)",994,2718,2598,14,95.6,0.5,
"De 45 a 49 años (018)",820,2697,2550,1,94.5,,
"De 50 y más años (019)",1425,6124,5500,,89.8,,
"Ocupada (020)",7622,17349,16324,162,94.1,0.9,
"De 12 a 14 años (021)",101,1,1,,100,,
"De 15 a 19 años (022)",501,77,77,11,100,14.3,
"De 20 a 24 años (023)",830,520,513,26,98.7,5,
"De 25 a 29 años (024)",896,971,958,36,98.7,3.7,
"De 30 a 34 años (025)",989,1746,1695,46,97.1,2.6,
"De 35 a 39 años (026)",1134,2705,2630,28,97.2,1,
"De 40 a 44 años (027)",970,2656,2536,14,95.5,0.5,
"De 45 a 49 años (028)",801,2646,2504,1,94.6,,
"De 50 y más años (029)",1400,6027,5410,,89.8,,
"Desocupada (030)",448,413,395,14,95.6,3.4,
"De 12 a 14 años (031)",8,,,,,,
"De 15 a 19 años (032)",96,9,9,2,100,22.2,
"De 20 a 24 años (033)",109,28,28,4,100,14.3,
"De 25 a 29 años (034)",71,35,32,4,91.4,11.4,
"De 30 a 34 años (035)",55,62,62,3,100,4.8,
"De 35 a 39 años (036)",41,69,66,1,95.7,1.4,
