"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia TARATA (000)",2789,1449,32,43,1134,62,2,12,16,39
"Hombres (001)",1153,744,22,19,297,28,2,7,14,20
"Mujeres (002)",1636,705,10,24,837,34,,5,2,19
"De 06 a 14 años (003)",1033,998,,,20,13,,,,2
"Hombres (004)",526,510,,,9,6,,,,1
"Mujeres (005)",507,488,,,11,7,,,,1
"De 15 a 29 años (006)",737,434,,8,271,,1,1,16,6
"Hombres (007)",309,223,,3,64,,1,1,14,3
"Mujeres (008)",428,211,,5,207,,,,2,3
"De 30 a 44 años (009)",289,15,,5,261,,1,,,7
"Hombres (010)",86,9,,2,70,,1,,,4
"Mujeres (011)",203,6,,3,191,,,,,3
"De 45 a 64 años (012)",321,1,12,12,280,1,,5,,10
"Hombres (013)",80,1,8,5,58,,,3,,5
"Mujeres (014)",241,,4,7,222,1,,2,,5
"De 65 y más años (015)",409,1,20,18,302,48,,6,,14
"Hombres (016)",152,1,14,9,96,22,,3,,7
"Mujeres (017)",257,,6,9,206,26,,3,,7
,,,,,,,,,,
"AREA URBANA (018)",2285,1174,31,38,942,48,2,8,12,30
"Hombres (019)",963,597,21,16,274,20,2,5,12,16
"Mujeres (020)",1322,577,10,22,668,28,,3,,14
"De 06 a 14 años (021)",816,788,,,16,10,,,,2
"Hombres (022)",410,397,,,8,4,,,,1
"Mujeres (023)",406,391,,,8,6,,,,1
"De 15 a 29 años (024)",608,370,,8,212,,1,1,12,4
"Hombres (025)",269,190,,3,60,,1,1,12,2
"Mujeres (026)",339,180,,5,152,,,,,2
"De 30 a 44 años (027)",254,15,,3,228,,1,,,7
"Hombres (028)",82,9,,1,67,,1,,,4
"Mujeres (029)",172,6,,2,161,,,,,3
"De 45 a 64 años (030)",269,1,12,11,235,,,3,,7
"Hombres (031)",72,1,8,5,55,,,1,,2
"Mujeres (032)",197,,4,6,180,,,2,,5
"De 65 y más años (033)",338,,19,16,251,38,,4,,10
"Hombres (034)",130,,13,7,84,16,,3,,7
"Mujeres (035)",208,,6,9,167,22,,1,,3
,,,,,,,,,,
"AREA RURAL (036)",504,275,1,5,192,14,,4,4,9
"Hombres (037)",190,147,1,3,23,8,,2,2,4
"Mujeres (038)",314,128,,2,169,6,,2,2,5
"De 06 a 14 años (039)",217,210,,,4,3,,,,
"Hombres (040)",116,113,,,1,2,,,,
"Mujeres (041)",101,97,,,3,1,,,,
"De 15 a 29 años (042)",129,64,,,59,,,,4,2
"Hombres (043)",40,33,,,4,,,,2,1
"Mujeres (044)",89,31,,,55,,,,2,1
"De 30 a 44 años (045)",35,,,2,33,,,,,
"Hombres (046)",4,,,1,3,,,,,
"Mujeres (047)",31,,,1,30,,,,,
"De 45 a 64 años (048)",52,,,1,45,1,,2,,3
"Hombres (049)",8,,,,3,,,2,,3
"Mujeres (050)",44,,,1,42,1,,,,
"De 65 y más años (051)",71,1,1,2,51,10,,2,,4
"Hombres (052)",22,1,1,2,12,6,,,,
"Mujeres (053)",49,,,,39,4,,2,,4
