"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia PARURO",,,,,,,,
"Viviendas particulares (001)",8302,7960,270,3,14,43,6,6
"Ocupantes presentes (002)",30753,29640,914,4,46,122,16,11
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",7412,7080,263,3,13,42,6,5
"Ocupantes presentes (005)",27092,26008,890,4,44,121,16,9
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",22,18,3,,1,,,
"Ocupantes presentes (014)",68,57,9,,2,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",859,856,3,,,,,
"Ocupantes presentes (017)",3572,3558,14,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",7,6,1,,,,,
"Ocupantes presentes (023)",18,17,1,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",2,,,,,1,,1
"Ocupantes presentes (026)",3,,,,,1,,2
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",2987,2700,226,3,13,41,,4
"Ocupantes presentes (029)",10445,9519,758,4,41,115,,8
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",2959,2678,222,3,12,40,,4
"Ocupantes presentes (032)",10362,9449,748,4,39,114,,8
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",22,18,3,,1,,,
"Ocupantes presentes (041)",68,57,9,,2,,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",5,4,1,,,,,
"Ocupantes presentes (050)",14,13,1,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",1,,,,,1,,
"Ocupantes presentes (053)",1,,,,,1,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",5315,5260,44,,1,2,6,2
"Ocupantes presentes (056)",20308,20121,156,,5,7,16,3
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",4453,4402,41,,1,2,6,1
"Ocupantes presentes (059)",16730,16559,142,,5,7,16,1
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",859,856,3,,,,,
"Ocupantes presentes (071)",3572,3558,14,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",2,2,,,,,,
"Ocupantes presentes (077)",4,4,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,,,,,,,1
"Ocupantes presentes (080)",2,,,,,,,2
